model,stratum,method,n,n_correct_direct,corrected_n,induced_n,acc_direct,acc_method,dconf_unchanged,dconf_lo,dconf_hi,ece_direct,ece_method
q4b,low_acc,vcd,600,96,44,10,0.16,0.21666666666666667,0.25345170800433015,0.23619478739064298,0.2710743259689347,0.26256484829680216,0.4292820872152762
q4b,low_acc,m3id,600,96,27,11,0.16,0.18666666666666668,0.08034917934852488,0.062417541041970254,0.10029726557477432,0.26256484829680216,0.37272855625583245
q4b,low_acc,dola,600,96,2,4,0.16,0.15666666666666668,0.1583688156607077,0.1515206332917708,0.16502005221943059,0.26256484829680216,0.39338108489300283
q4b,low_acc,deco,600,96,5,15,0.16,0.14333333333333334,0.18171312626717345,0.16830475974254244,0.1957888300123159,0.26256484829680216,0.4345170743139096
q4b,high_acc,vcd,600,502,9,18,0.8366666666666667,0.8216666666666667,0.17559567787405533,0.1626582526194129,0.18788435579736798,0.2558200257625563,0.11107440446074128
q4b,high_acc,m3id,600,502,1,8,0.8366666666666667,0.825,0.018274481756472016,0.010019979988178496,0.027761348356830688,0.2558200257625563,0.2178733657437859
q4b,high_acc,dola,600,502,3,2,0.8366666666666667,0.8383333333333334,0.137169828080655,0.1308459323623003,0.14380465078618912,0.2558200257625563,0.13170540988022558
q4b,high_acc,deco,600,502,2,16,0.8366666666666667,0.8133333333333334,0.1475139081363052,0.13614090483304847,0.1587154784135549,0.2558200257625563,0.12780540000568047
q9b,low_acc,vcd,600,148,59,25,0.24666666666666667,0.30333333333333334,0.18033799028896785,0.15852026202279582,0.20101280310484287,0.14801826417446134,0.3134009603907665
q9b,low_acc,m3id,600,148,21,21,0.24666666666666667,0.24666666666666667,0.0557087786238769,0.04165618973816263,0.07124755962055988,0.14801826417446134,0.2953619937847058
q9b,low_acc,dola,600,148,8,13,0.24666666666666667,0.23833333333333334,0.1256892065700346,0.11703640866240853,0.1352853942349835,0.14801826417446134,0.3536942997326454
q9b,low_acc,deco,600,148,4,9,0.24666666666666667,0.23833333333333334,0.07592156869761738,0.0700331879243132,0.0822070766002737,0.14801826417446134,0.2430285516753793
q9b,high_acc,vcd,600,551,16,17,0.9183333333333333,0.9166666666666666,0.08170113092796369,0.06821957943961025,0.09515178526328369,0.2906745843340953,0.2151615218818188
q9b,high_acc,m3id,600,551,5,6,0.9183333333333333,0.9166666666666666,0.008159018949502043,0.003088459454011172,0.014245015411223798,0.2906745843340953,0.2724058130383492
q9b,high_acc,dola,600,551,5,31,0.9183333333333333,0.875,0.1044262823585851,0.09613385344561279,0.11229774787502611,0.2906745843340953,0.19948010024925072
q9b,high_acc,deco,600,551,2,3,0.9183333333333333,0.9166666666666666,0.062385104725815654,0.05776877112844546,0.06655416192705806,0.2906745843340953,0.22720114015042783
llava16,low_acc,vcd,600,11,19,6,0.018333333333333333,0.04,0.2542844473832125,0.23565906250085628,0.2730662793739751,0.3790240654225151,0.6100565557926894
llava16,low_acc,m3id,600,11,10,1,0.018333333333333333,0.03333333333333333,0.07704470244686255,0.05891460665658619,0.09734857371935011,0.3790240654225151,0.539787773390611
llava16,low_acc,dola,600,11,0,0,0.018333333333333333,0.018333333333333333,0.11212460614753456,0.10700835274838151,0.11741909223865535,0.3790240654225151,0.49015494676927723
llava16,low_acc,deco,600,11,2,4,0.018333333333333333,0.015,0.048082646340300135,0.04524913339010964,0.05103586516965693,0.3790240654225151,0.42987656327585383
llava16,high_acc,vcd,600,493,20,55,0.8216666666666667,0.7633333333333333,0.2186087765195201,0.20411721981847578,0.2329307882659203,0.27353791524966553,0.08721217309435209
llava16,high_acc,m3id,600,493,11,15,0.8216666666666667,0.815,0.019324471498282137,0.010717616008652947,0.028670819219661456,0.27353791524966553,0.2564396236091852
llava16,high_acc,dola,600,493,0,3,0.8216666666666667,0.8166666666666667,0.139269346841658,0.133670819867465,0.14494418480217156,0.27353791524966553,0.14768216674526533
llava16,high_acc,deco,600,493,2,7,0.8216666666666667,0.8133333333333334,0.05664476754990491,0.053564191486347806,0.059510632378811185,0.27353791524966553,0.21475807704031463
internvl4b,low_acc,vcd,600,15,12,6,0.025,0.035,0.23903252694671945,0.22038384447131798,0.2595150733612166,0.3458144494642815,0.577336566473047
internvl4b,low_acc,m3id,600,15,3,3,0.025,0.025,0.0658563233838223,0.04972235929211694,0.08448249642082518,0.3458144494642815,0.5090123350173235
internvl4b,low_acc,dola,600,15,17,10,0.025,0.03666666666666667,0.37152075830926284,0.33165787662121843,0.4113380935399773,0.3458144494642815,0.85847774853309
internvl4b,low_acc,deco,600,15,0,0,0.025,0.025,0.06293420534766181,0.059811960535662505,0.06639510980270405,0.3458144494642815,0.4122297272582849
internvl4b,high_acc,vcd,600,511,18,26,0.8516666666666667,0.8383333333333334,0.14936478606337666,0.13600767640412872,0.16270974153238865,0.2275949929654598,0.08036159773667649
internvl4b,high_acc,m3id,600,511,10,5,0.8516666666666667,0.86,0.008739399085769723,0.0038888953264543426,0.015285100219532465,0.2275949929654598,0.1951991485059261
internvl4b,high_acc,dola,600,511,18,116,0.8516666666666667,0.6883333333333334,0.20671363309506446,0.18769327017688944,0.22542469840256435,0.2275949929654598,0.2578063256541887
internvl4b,high_acc,deco,600,511,5,6,0.8516666666666667,0.85,0.07202853566724739,0.06743738010061748,0.07668692633004742,0.2275949929654598,0.1430747172236443
