model,stratum,condition,method,n,accuracy
q9b,low_acc,original,direct,100,0.35
q9b,low_acc,short64,direct,100,0.23
q9b,low_acc,short32,direct,100,0.12
q9b,low_acc,original,vcd,100,0.39
q9b,low_acc,short64,vcd,100,0.25
q9b,low_acc,short32,vcd,100,0.1
q9b,low_acc,original,m3id,100,0.37
q9b,low_acc,short64,m3id,100,0.24
q9b,low_acc,short32,m3id,100,0.13
q9b,high_acc,original,direct,100,0.88
q9b,high_acc,short64,direct,100,0.72
q9b,high_acc,short32,direct,100,0.49
q9b,high_acc,original,vcd,100,0.83
q9b,high_acc,short64,vcd,100,0.67
q9b,high_acc,short32,vcd,100,0.44
q9b,high_acc,original,m3id,100,0.87
q9b,high_acc,short64,m3id,100,0.71
q9b,high_acc,short32,m3id,100,0.48
