model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
q9b,low_acc,vcd,sequence,0.2,0.2,0.2,0.75,0.5
q9b,low_acc,vcd,sequence,0.4,0.4,0.4,0.6875,0.5625
q9b,low_acc,vcd,sequence,0.6,0.6,0.6,0.7083333333333334,0.625
q9b,low_acc,vcd,sequence,0.8,0.8,0.8,0.71875,0.65625
q9b,low_acc,vcd,sequence,1.0,1.0,1.0,0.7,0.65
q9b,low_acc,m3id,sequence,0.2,0.2,0.2,0.75,0.5
q9b,low_acc,m3id,sequence,0.4,0.4,0.4,0.6875,0.6875
q9b,low_acc,m3id,sequence,0.6,0.6,0.6,0.7083333333333334,0.625
q9b,low_acc,m3id,sequence,0.8,0.8,0.8,0.71875,0.625
q9b,low_acc,m3id,sequence,1.0,1.0,1.0,0.7,0.6
q9b,low_acc,dola,sequence,0.2,0.2,0.2,0.75,0.625
q9b,low_acc,dola,sequence,0.4,0.4,0.4,0.6875,0.625
q9b,low_acc,dola,sequence,0.6,0.6,0.6,0.7083333333333334,0.7083333333333334
q9b,low_acc,dola,sequence,0.8,0.8,0.8,0.71875,0.75
q9b,low_acc,dola,sequence,1.0,1.0,1.0,0.7,0.75
q9b,low_acc,deco,sequence,0.2,0.2,0.2,0.75,0.5
q9b,low_acc,deco,sequence,0.4,0.4,0.4,0.6875,0.4375
q9b,low_acc,deco,sequence,0.6,0.6,0.6,0.7083333333333334,0.5416666666666666
q9b,low_acc,deco,sequence,0.8,0.8,0.8,0.71875,0.59375
q9b,low_acc,deco,sequence,1.0,1.0,1.0,0.7,0.6
q9b,high_acc,vcd,sequence,0.2,0.2,0.2,0.125,0.25
q9b,high_acc,vcd,sequence,0.4,0.4,0.4,0.125,0.5
q9b,high_acc,vcd,sequence,0.6,0.6,0.6,0.125,0.4166666666666667
q9b,high_acc,vcd,sequence,0.8,0.8,0.8,0.125,0.34375
q9b,high_acc,vcd,sequence,1.0,1.0,1.0,0.15,0.325
q9b,high_acc,m3id,sequence,0.2,0.2,0.2,0.125,0.25
q9b,high_acc,m3id,sequence,0.4,0.4,0.4,0.125,0.1875
q9b,high_acc,m3id,sequence,0.6,0.6,0.6,0.125,0.16666666666666666
q9b,high_acc,m3id,sequence,0.8,0.8,0.8,0.125,0.1875
q9b,high_acc,m3id,sequence,1.0,1.0,1.0,0.15,0.225
q9b,high_acc,dola,sequence,0.2,0.2,0.2,0.125,0.125
q9b,high_acc,dola,sequence,0.4,0.4,0.4,0.125,0.1875
q9b,high_acc,dola,sequence,0.6,0.6,0.6,0.125,0.20833333333333334
q9b,high_acc,dola,sequence,0.8,0.8,0.8,0.125,0.25
q9b,high_acc,dola,sequence,1.0,1.0,1.0,0.15,0.25
q9b,high_acc,deco,sequence,0.2,0.2,0.2,0.125,0.25
q9b,high_acc,deco,sequence,0.4,0.4,0.4,0.125,0.25
q9b,high_acc,deco,sequence,0.6,0.6,0.6,0.125,0.25
