population,model,domain,group,method,n,acc_direct,gap_direct,ece_direct,ece_method,d_ece
class,q4b,food101,apple_pie,vcd,24,0.5,-0.1189,0.3253,0.3694,0.0442
class,q4b,food101,baby_back_ribs,vcd,24,0.4167,-0.0475,0.3493,0.2069,-0.1424
class,q4b,food101,baklava,vcd,24,0.8333,-0.1699,0.2131,0.1148,-0.0983
class,q4b,food101,beef_carpaccio,vcd,24,0.1667,0.1407,0.2579,0.5198,0.2619
class,q4b,food101,beef_tartare,vcd,24,0.0833,0.2829,0.3275,0.7273,0.3998
class,q4b,food101,beet_salad,vcd,24,0.6667,-0.0741,0.2368,0.1159,-0.1208
class,q4b,food101,beignets,vcd,24,0.5417,-0.1991,0.2785,0.4926,0.2141
class,q4b,food101,bibimbap,vcd,24,0.2083,0.1635,0.2073,0.3534,0.1461
class,q4b,food101,bread_pudding,vcd,24,0.7917,-0.3882,0.3882,0.1778,-0.2104
class,q4b,food101,breakfast_burrito,vcd,24,0.7083,-0.0987,0.2109,0.3973,0.1864
class,q4b,food101,bruschetta,vcd,24,0.4167,-0.1321,0.276,0.5262,0.2503
class,q4b,food101,caesar_salad,vcd,24,0.9167,-0.3747,0.3747,0.0934,-0.2813
class,q4b,food101,cannoli,vcd,24,0.7083,-0.0471,0.1701,0.1394,-0.0307
class,q4b,food101,caprese_salad,vcd,24,0.5417,-0.1692,0.23,0.2627,0.0327
class,q4b,food101,carrot_cake,vcd,24,0.8333,-0.4637,0.4744,0.2734,-0.201
class,q4b,food101,ceviche,vcd,24,0.3333,0.1089,0.2853,0.4466,0.1613
class,q4b,food101,cheese_plate,vcd,24,0.5,-0.1263,0.2416,0.2612,0.0196
class,q4b,food101,cheesecake,vcd,24,0.5417,-0.1586,0.2222,0.1412,-0.0809
class,q4b,food101,chicken_curry,vcd,24,0.5,-0.1191,0.2312,0.1324,-0.0987
class,q4b,food101,chicken_quesadilla,vcd,24,0.9583,-0.1507,0.1507,0.0355,-0.1152
class,q4b,food101,chicken_wings,vcd,24,0.7917,-0.1849,0.1849,0.1228,-0.0621
class,q4b,food101,chocolate_cake,vcd,24,0.7083,-0.2578,0.3171,0.1948,-0.1222
class,q4b,food101,chocolate_mousse,vcd,24,0.8333,-0.4177,0.4177,0.07,-0.3478
class,q4b,food101,churros,vcd,24,0.5417,0.0687,0.13,0.2863,0.1563
class,q4b,food101,clam_chowder,vcd,24,0.9583,-0.2393,0.2393,0.1427,-0.0966
class,q4b,food101,club_sandwich,vcd,24,0.75,-0.2311,0.3639,0.2588,-0.1051
class,q4b,food101,crab_cakes,vcd,24,0.1667,0.1937,0.3614,0.6036,0.2423
class,q4b,food101,creme_brulee,vcd,24,0.2083,0.1264,0.2553,0.2309,-0.0244
class,q4b,food101,croque_madame,vcd,24,0.0,0.3251,0.3251,0.6633,0.3382
class,q4b,food101,cup_cakes,vcd,24,0.0,0.5011,0.5011,0.6936,0.1924
class,q4b,food101,deviled_eggs,vcd,24,0.9167,-0.3965,0.3965,0.2043,-0.1921
class,q4b,food101,donuts,vcd,24,0.9167,-0.4001,0.4102,0.1981,-0.2121
class,q4b,food101,dumplings,vcd,24,0.2917,0.0562,0.1734,0.3566,0.1833
class,q4b,food101,edamame,vcd,24,0.9167,-0.1838,0.2474,0.1649,-0.0825
class,q4b,food101,eggs_benedict,vcd,24,0.375,0.0078,0.4794,0.4648,-0.0145
class,q4b,food101,escargots,vcd,24,0.125,0.176,0.176,0.6037,0.4277
class,q4b,food101,falafel,vcd,24,0.75,-0.1047,0.1613,0.3984,0.2371
class,q4b,food101,filet_mignon,vcd,24,0.0,0.5031,0.5031,0.6697,0.1666
class,q4b,food101,fish_and_chips,vcd,24,0.5417,-0.1053,0.4474,0.5014,0.054
class,q4b,food101,foie_gras,vcd,24,0.0,0.3625,0.3625,0.7376,0.3751
class,q4b,food101,french_fries,vcd,24,0.9167,-0.3673,0.3673,0.1957,-0.1716
class,q4b,food101,french_onion_soup,vcd,24,0.8333,-0.2846,0.3414,0.1899,-0.1514
class,q4b,food101,french_toast,vcd,24,0.5,-0.1065,0.1671,0.1764,0.0092
class,q4b,food101,fried_calamari,vcd,24,0.4167,-0.044,0.2928,0.372,0.0791
class,q4b,food101,fried_rice,vcd,24,0.9167,-0.4203,0.4322,0.1378,-0.2944
class,q4b,food101,frozen_yogurt,vcd,24,0.25,0.0747,0.1034,0.368,0.2646
class,q4b,food101,garlic_bread,vcd,24,0.5833,-0.2335,0.358,0.3662,0.0082
class,q4b,food101,gnocchi,vcd,24,0.2083,0.216,0.4032,0.5475,0.1443
class,q4b,food101,greek_salad,vcd,24,0.9167,-0.1626,0.1655,0.0944,-0.0711
class,q4b,food101,grilled_cheese_sandwich,vcd,24,0.625,-0.2044,0.3605,0.2493,-0.1112
class,q4b,food101,grilled_salmon,vcd,24,0.25,0.2498,0.3497,0.6189,0.2692
class,q4b,food101,guacamole,vcd,24,0.6667,-0.0723,0.1361,0.243,0.1069
class,q4b,food101,gyoza,vcd,24,0.125,0.3444,0.3444,0.7861,0.4417
class,q4b,food101,hamburger,vcd,24,0.9167,-0.4754,0.4754,0.1686,-0.3068
class,q4b,food101,hot_and_sour_soup,vcd,24,1.0,-0.2601,0.2601,0.1151,-0.145
class,q4b,food101,hot_dog,vcd,24,0.9583,-0.3031,0.3274,0.1034,-0.224
class,q4b,food101,huevos_rancheros,vcd,24,0.0,0.4535,0.4535,0.8019,0.3484
class,q4b,food101,hummus,vcd,24,0.875,-0.2583,0.2837,0.1434,-0.1403
class,q4b,food101,ice_cream,vcd,24,0.6667,-0.104,0.2033,0.355,0.1516
class,q4b,food101,lasagna,vcd,24,0.5417,-0.1377,0.2128,0.2896,0.0769
class,q4b,food101,lobster_bisque,vcd,24,0.9583,-0.2222,0.2537,0.114,-0.1397
class,q4b,food101,lobster_roll_sandwich,vcd,24,0.7917,-0.3225,0.4352,0.3322,-0.103
class,q4b,food101,macaroni_and_cheese,vcd,24,0.875,-0.2309,0.2457,0.1981,-0.0476
class,q4b,food101,macarons,vcd,24,0.5,0.121,0.2923,0.1874,-0.1049
class,q4b,food101,miso_soup,vcd,24,0.875,-0.2772,0.3152,0.2424,-0.0728
class,q4b,food101,mussels,vcd,24,0.8333,-0.4316,0.4316,0.3886,-0.043
class,q4b,food101,nachos,vcd,24,0.9583,-0.2113,0.2279,0.0749,-0.153
