acc,acc_hi,acc_lo,cause,ci_excl_zero,method,n,pair
0.1127,0.1556,0.0806,retrieval,,vcd,275,q4b@food101
0.0,0.0226,0.0,recognition,,vcd,166,q4b@food101
0.1127,0.1501,0.0753,diff_R-K,True,vcd,441,q4b@food101
0.2982,0.3547,0.2472,retrieval,,mib,275,q4b@food101
0.0542,0.0998,0.0288,recognition,,mib,166,q4b@food101
0.244,0.3081,0.1799,diff_R-K,True,mib,441,q4b@food101
0.1745,0.2238,0.1343,retrieval,,lcd,275,q4b@food101
0.0602,0.1073,0.033,recognition,,lcd,166,q4b@food101
0.1143,0.1719,0.0567,diff_R-K,True,lcd,441,q4b@food101
0.1263,0.1692,0.093,retrieval,,vcd,293,q9b@food101
0.0252,0.0629,0.0098,recognition,,vcd,159,q9b@food101
0.1011,0.1463,0.056,diff_R-K,True,vcd,452,q9b@food101
0.2696,0.3232,0.222,retrieval,,mib,293,q9b@food101
0.044,0.0881,0.0215,recognition,,mib,159,q9b@food101
0.2256,0.2856,0.1656,diff_R-K,True,mib,452,q9b@food101
0.1195,0.1616,0.0872,retrieval,,lcd,293,q9b@food101
0.044,0.0881,0.0215,recognition,,lcd,159,q9b@food101
0.0754,0.1244,0.0265,diff_R-K,True,lcd,452,q9b@food101
0.0497,0.095,0.0254,retrieval,,vcd,161,internvl4b@food101
0.0212,0.0398,0.0112,recognition,,vcd,424,internvl4b@food101
0.0285,0.0647,-0.0078,diff_R-K,False,vcd,585,internvl4b@food101
0.0745,0.1258,0.0431,retrieval,,mib,161,internvl4b@food101
0.0212,0.0398,0.0112,recognition,,mib,424,internvl4b@food101
0.0533,0.0961,0.0105,diff_R-K,True,mib,585,internvl4b@food101
0.0373,0.0789,0.0172,retrieval,,lcd,161,internvl4b@food101
0.0071,0.0206,0.0024,recognition,,lcd,424,internvl4b@food101
0.0302,0.0605,-0.0001,diff_R-K,False,lcd,585,internvl4b@food101
0.0455,0.0956,0.021,retrieval,,vcd,132,llava16@food101
0.0274,0.0484,0.0154,recognition,,vcd,401,llava16@food101
0.018,0.057,-0.0209,diff_R-K,False,vcd,533,llava16@food101
0.0833,0.1431,0.0472,retrieval,,mib,132,llava16@food101
0.0549,0.0817,0.0365,recognition,,mib,401,llava16@food101
0.0285,0.0806,-0.0237,diff_R-K,False,mib,533,llava16@food101
0.0152,0.0536,0.0042,retrieval,,lcd,132,llava16@food101
0.0175,0.0356,0.0085,recognition,,lcd,401,llava16@food101
-0.0023,0.0222,-0.0268,diff_R-K,False,lcd,533,llava16@food101
0.0605,0.0892,0.0407,retrieval,,vcd,380,q3vl4b@food101
0.0,0.0305,0.0,recognition,,vcd,122,q3vl4b@food101
0.0605,0.0845,0.0366,diff_R-K,True,vcd,502,q3vl4b@food101
0.1605,0.2008,0.127,retrieval,,mib,380,q3vl4b@food101
0.0164,0.0578,0.0045,recognition,,mib,122,q3vl4b@food101
0.1441,0.1874,0.1009,diff_R-K,True,mib,502,q3vl4b@food101
0.0684,0.0984,0.0471,retrieval,,lcd,380,q3vl4b@food101
0.0082,0.045,0.0014,recognition,,lcd,122,q3vl4b@food101
0.0602,0.0902,0.0302,diff_R-K,True,lcd,502,q3vl4b@food101
0.1441,0.1955,0.1045,retrieval,,vcd,229,q4b@dogs
0.0369,0.0575,0.0235,recognition,,vcd,488,q4b@dogs
0.1072,0.1557,0.0588,diff_R-K,True,vcd,717,q4b@dogs
0.4279,0.4927,0.3656,retrieval,,mib,229,q4b@dogs
0.2234,0.2624,0.1886,recognition,,mib,488,q4b@dogs
0.2046,0.2786,0.1306,diff_R-K,True,mib,717,q4b@dogs
0.2445,0.3041,0.1934,retrieval,,lcd,229,q4b@dogs
0.0779,0.1051,0.0573,recognition,,lcd,488,q4b@dogs
0.1667,0.2272,0.1061,diff_R-K,True,lcd,717,q4b@dogs
0.0062,0.0223,0.0017,retrieval,,vcd,323,q9b@dogs
0.0051,0.0182,0.0014,recognition,,vcd,396,q9b@dogs
0.0011,0.0122,-0.0099,diff_R-K,False,vcd,719,q9b@dogs
0.291,0.3428,0.2442,retrieval,,mib,323,q9b@dogs
0.0732,0.1032,0.0515,recognition,,mib,396,q9b@dogs
0.2178,0.2736,0.162,diff_R-K,True,mib,719,q9b@dogs
0.065,0.0973,0.0429,retrieval,,lcd,323,q9b@dogs
0.0025,0.0142,0.0004,recognition,,lcd,396,q9b@dogs
0.0625,0.0898,0.0352,diff_R-K,True,lcd,719,q9b@dogs
