acc,acc_hi,acc_lo,cause,ci_excl_zero,method,n,pair,role
0.1832,0.2581,0.1263,retrieval,,vcd,131,q4b@food101,exploratory
0.0226,0.0459,0.011,recognition,,vcd,310,q4b@food101,exploratory
0.1606,0.2289,0.0923,diff_R-K,True,vcd,441,q4b@food101,exploratory
0.4962,0.5807,0.4119,retrieval,,mib,131,q4b@food101,exploratory
0.0839,0.1201,0.0579,recognition,,mib,310,q4b@food101,exploratory
0.4123,0.5033,0.3213,diff_R-K,True,mib,441,q4b@food101,exploratory
0.2672,0.3488,0.1988,retrieval,,lcd,131,q4b@food101,exploratory
0.0742,0.1089,0.0499,recognition,,lcd,310,q4b@food101,exploratory
0.193,0.2742,0.1118,diff_R-K,True,lcd,441,q4b@food101,exploratory
-0.1379,-0.071,-0.1955,D_dECE_R_minus_K,True,vcd,441,q4b@food101,exploratory
-0.141,-0.0494,-0.2073,D_dECE_R_minus_K,True,lcd,441,q4b@food101,exploratory
0.1552,0.232,0.1005,retrieval,,vcd,116,q9b@food101,exploratory
0.0685,0.1006,0.046,recognition,,vcd,336,q9b@food101,exploratory
0.0867,0.1579,0.0155,diff_R-K,True,vcd,452,q9b@food101,exploratory
0.4397,0.5305,0.3527,retrieval,,mib,116,q9b@food101,exploratory
0.1042,0.1414,0.0759,recognition,,mib,336,q9b@food101,exploratory
0.3355,0.4315,0.2394,diff_R-K,True,mib,452,q9b@food101,exploratory
0.1897,0.2705,0.1287,retrieval,,lcd,116,q9b@food101,exploratory
0.0595,0.0901,0.0389,recognition,,lcd,336,q9b@food101,exploratory
0.1301,0.2058,0.0544,diff_R-K,True,lcd,452,q9b@food101,exploratory
-0.0754,-0.012,-0.1441,D_dECE_R_minus_K,True,vcd,452,q9b@food101,exploratory
-0.1225,-0.0537,-0.1827,D_dECE_R_minus_K,True,lcd,452,q9b@food101,exploratory
0.1852,0.367,0.0818,retrieval,,vcd,27,internvl4b@food101,confirmatory
0.0215,0.0372,0.0123,recognition,,vcd,558,internvl4b@food101,confirmatory
0.1637,0.3107,0.0167,diff_R-K,True,vcd,585,internvl4b@food101,confirmatory
0.0741,0.2337,0.0206,retrieval,,mib,27,internvl4b@food101,confirmatory
0.0341,0.0526,0.0219,recognition,,mib,558,internvl4b@food101,confirmatory
0.04,0.1399,-0.0599,diff_R-K,False,mib,585,internvl4b@food101,confirmatory
0.1852,0.367,0.0818,retrieval,,lcd,27,internvl4b@food101,confirmatory
0.0072,0.0183,0.0028,recognition,,lcd,558,internvl4b@food101,confirmatory
0.178,0.3247,0.0313,diff_R-K,True,lcd,585,internvl4b@food101,confirmatory
-0.2047,-0.073,-0.3023,D_dECE_R_minus_K,True,vcd,585,internvl4b@food101,confirmatory
-0.2897,-0.1395,-0.3436,D_dECE_R_minus_K,True,lcd,585,internvl4b@food101,confirmatory
0.1772,0.2758,0.1086,retrieval,,vcd,79,llava16@food101,confirmatory
0.0066,0.0192,0.0022,recognition,,vcd,454,llava16@food101,confirmatory
0.1706,0.2551,0.0861,diff_R-K,True,vcd,533,llava16@food101,confirmatory
0.1646,0.2615,0.0988,retrieval,,mib,79,llava16@food101,confirmatory
0.0441,0.0671,0.0287,recognition,,mib,454,llava16@food101,confirmatory
0.1205,0.2044,0.0366,diff_R-K,True,mib,533,llava16@food101,confirmatory
0.0506,0.1231,0.0199,retrieval,,lcd,79,llava16@food101,confirmatory
0.011,0.0255,0.0047,recognition,,lcd,454,llava16@food101,confirmatory
0.0396,0.0889,-0.0097,diff_R-K,False,lcd,533,llava16@food101,confirmatory
-0.1736,-0.092,-0.2452,D_dECE_R_minus_K,True,vcd,533,llava16@food101,confirmatory
-0.1262,-0.072,-0.1857,D_dECE_R_minus_K,True,lcd,533,llava16@food101,confirmatory
0.1261,0.2006,0.0766,retrieval,,vcd,111,q3vl4b@food101,exploratory
0.023,0.0432,0.0122,recognition,,vcd,391,q3vl4b@food101,exploratory
0.1031,0.1666,0.0396,diff_R-K,True,vcd,502,q3vl4b@food101,exploratory
0.2883,0.3785,0.2122,retrieval,,mib,111,q3vl4b@food101,exploratory
0.0793,0.1103,0.0564,recognition,,mib,391,q3vl4b@food101,exploratory
0.209,0.2974,0.1206,diff_R-K,True,mib,502,q3vl4b@food101,exploratory
0.1351,0.211,0.0836,retrieval,,lcd,111,q3vl4b@food101,exploratory
0.0307,0.0529,0.0176,recognition,,lcd,391,q3vl4b@food101,exploratory
0.1044,0.1703,0.0386,diff_R-K,True,lcd,502,q3vl4b@food101,exploratory
-0.0956,-0.032,-0.1645,D_dECE_R_minus_K,True,vcd,502,q3vl4b@food101,exploratory
-0.1121,-0.0569,-0.1794,D_dECE_R_minus_K,True,lcd,502,q3vl4b@food101,exploratory
