class,closed_full_acc,closed_near10_acc,n,open_acc,pair,stratum
beef_carpaccio,0.75,0.9167,24,0.1667,q4b@food101,deficient
beef_tartare,0.5,0.9583,24,0.0833,q4b@food101,deficient
bibimbap,0.875,1.0,24,0.1667,q4b@food101,deficient
bruschetta,0.75,1.0,24,0.4167,q4b@food101,deficient
caprese_salad,0.9167,1.0,24,0.5417,q4b@food101,deficient
ceviche,0.4583,0.8333,24,0.2917,q4b@food101,deficient
chicken_curry,0.875,1.0,24,0.3333,q4b@food101,deficient
crab_cakes,0.7917,1.0,24,0.125,q4b@food101,deficient
creme_brulee,0.875,0.9583,24,0.2083,q4b@food101,deficient
croque_madame,0.3333,0.9583,24,0.0,q4b@food101,deficient
cup_cakes,0.9167,0.875,24,0.0,q4b@food101,deficient
escargots,0.375,0.8333,24,0.125,q4b@food101,deficient
filet_mignon,0.2083,0.2917,24,0.0,q4b@food101,deficient
fish_and_chips,0.875,0.9583,24,0.5417,q4b@food101,deficient
foie_gras,0.2083,0.625,24,0.0,q4b@food101,deficient
frozen_yogurt,0.8333,0.7917,24,0.25,q4b@food101,deficient
gnocchi,0.7917,0.9167,24,0.2083,q4b@food101,deficient
gyoza,0.75,1.0,24,0.125,q4b@food101,deficient
huevos_rancheros,0.6667,1.0,24,0.0,q4b@food101,deficient
panna_cotta,0.4167,0.9583,24,0.0,q4b@food101,deficient
pho,0.9167,0.9583,24,0.0417,q4b@food101,deficient
pork_chop,0.4583,0.875,24,0.2083,q4b@food101,deficient
prime_rib,0.4583,0.5833,24,0.0,q4b@food101,deficient
strawberry_shortcake,0.8333,0.9583,24,0.0,q4b@food101,deficient
tuna_tartare,0.625,1.0,24,0.1667,q4b@food101,deficient
chicken_wings,0.9583,0.9583,24,0.7917,q4b@food101,known
churros,0.875,0.9583,24,0.5,q4b@food101,known
clam_chowder,0.5417,0.7083,24,0.9167,q4b@food101,known
club_sandwich,0.4583,0.875,24,0.7083,q4b@food101,known
deviled_eggs,1.0,1.0,24,0.9167,q4b@food101,known
edamame,0.9583,0.9583,24,0.9167,q4b@food101,known
french_fries,0.9167,0.9583,24,0.9167,q4b@food101,known
greek_salad,0.7917,0.75,24,0.875,q4b@food101,known
hot_and_sour_soup,0.6667,0.9167,24,0.7917,q4b@food101,known
hot_dog,0.9167,1.0,24,0.9167,q4b@food101,known
lobster_bisque,0.75,0.9583,24,0.9167,q4b@food101,known
miso_soup,0.7917,0.875,24,0.5833,q4b@food101,known
nachos,0.9583,1.0,24,0.8333,q4b@food101,known
onion_rings,1.0,1.0,24,1.0,q4b@food101,known
oysters,0.9167,0.9583,24,0.9167,q4b@food101,known
pizza,0.9583,1.0,24,0.9583,q4b@food101,known
samosa,0.875,0.9583,24,0.7917,q4b@food101,known
spaghetti_bolognese,1.0,1.0,24,0.875,q4b@food101,known
spaghetti_carbonara,0.9583,0.9583,24,0.9167,q4b@food101,known
spring_rolls,1.0,1.0,24,0.875,q4b@food101,known
steak,0.6667,0.9167,24,0.4583,q4b@food101,known
sushi,0.9167,0.9583,24,0.875,q4b@food101,known
tacos,0.875,0.9583,24,0.875,q4b@food101,known
