model,domain,method,regressor,n_classes,r,r_lo,r_hi,r2,slope,intercept,x0,x0_lo,x0_hi,boot_valid_frac,direction_supported
q4b,food101,vcd,acc,101,-0.8317,-0.8833,-0.7645,0.6918,-0.5272,0.3166,0.6007,0.5611,0.6426,1.0,True
q4b,food101,vcd,gap,101,0.8094,0.7237,0.8756,0.6551,0.6246,0.0646,-0.1034,-0.1401,-0.0655,1.0,True
q4b,food101,mib,acc,101,-0.1817,-0.391,0.0284,0.033,-0.0684,0.0141,0.2067,-2.5439,0.5559,0.955,False
q4b,food101,mib,gap,101,0.2187,-0.0445,0.4475,0.0478,0.1002,-0.0168,0.1679,-0.071,2.0079,0.949,False
q4b,food101,lcd,acc,101,-0.4944,-0.6423,-0.3251,0.2444,-0.2553,0.1503,0.5886,0.4816,0.7068,1.0,True
q4b,food101,lcd,gap,101,0.5552,0.397,0.6923,0.3082,0.3491,0.0324,-0.0929,-0.1694,-0.0115,1.0,True
q9b,food101,vcd,acc,101,-0.8278,-0.8772,-0.7615,0.6853,-0.6533,0.4037,0.6179,0.5777,0.6582,1.0,True
q9b,food101,vcd,gap,101,0.7807,0.6728,0.8724,0.6095,0.721,0.0878,-0.1218,-0.1641,-0.0677,1.0,True
q9b,food101,mib,acc,101,-0.3318,-0.5009,-0.1525,0.1101,-0.1219,0.0572,0.469,0.1349,0.6358,1.0,True
q9b,food101,mib,gap,101,0.47,0.3281,0.6108,0.2209,0.2021,0.0096,-0.0473,-0.148,0.0915,1.0,True
q9b,food101,lcd,acc,101,-0.4923,-0.6361,-0.331,0.2424,-0.2826,0.1707,0.6041,0.4932,0.7142,1.0,True
q9b,food101,lcd,gap,101,0.5281,0.3308,0.7184,0.2789,0.3547,0.0413,-0.1164,-0.1979,0.0021,1.0,True
q4b,dogs,vcd,acc,120,-0.1741,-0.4164,0.0987,0.0303,-0.0681,0.0675,0.9917,0.3738,9.8475,0.893,False
q4b,dogs,vcd,gap,120,0.1807,-0.1221,0.435,0.0327,0.0622,0.0212,-0.3407,-13.1275,0.3418,0.877,False
q4b,dogs,mib,acc,120,0.5938,0.4511,0.6997,0.3526,0.3754,-0.3038,,,,0.0,False
q4b,dogs,mib,gap,120,-0.5876,-0.7044,-0.4395,0.3453,-0.3269,-0.0578,,,,0.0,False
q4b,dogs,lcd,acc,120,0.3389,0.1777,0.4747,0.1148,0.1729,-0.1644,,,,0.0,False
q4b,dogs,lcd,gap,120,-0.3175,-0.4599,-0.1563,0.1008,-0.1426,-0.0559,,,,0.0,False
q9b,dogs,vcd,acc,120,-0.6806,-0.805,-0.478,0.4632,-0.2138,0.1255,0.5873,0.4657,0.8465,1.0,True
q9b,dogs,vcd,gap,120,0.6462,0.4194,0.7912,0.4176,0.1854,0.0025,-0.0133,-0.3955,0.1357,1.0,True
q9b,dogs,mib,acc,120,0.4005,0.2555,0.5259,0.1604,0.2112,-0.2019,,,,0.0,False
q9b,dogs,mib,gap,120,-0.3888,-0.5192,-0.2435,0.1512,-0.1873,-0.0782,,,,0.0,False
q9b,dogs,lcd,acc,120,-0.4541,-0.6221,-0.2617,0.2062,-0.1672,0.0741,0.4433,0.3125,0.6976,1.0,True
q9b,dogs,lcd,gap,120,0.4901,0.311,0.641,0.2402,0.1648,-0.0322,0.1956,-0.0395,0.3332,1.0,True
