model,task,method,stratum,n,d_certain_error,err_lo,err_hi,d_accuracy,acc_lo,acc_hi,d_abstain,d_wrong_conf,conf_lo,conf_hi,n_conf_pairs,d_ece,ece_lo,ece_hi,err_ci_excl_zero,conf_ci_excl_zero,ece_ci_excl_zero
q4b,naming,vcd,known,600,0.025,0.0075,0.0425,-0.025,-0.0425,-0.0075,0.0,0.256,0.2008,0.3111,55,-0.1295,-0.1622,-0.0738,True,True,False
q4b,naming,vcd,deficient,600,-0.0083,-0.0331,0.0164,0.0083,-0.0164,0.0331,0.0,0.3068,0.2873,0.3262,410,0.2975,0.2625,0.3267,False,True,True
q4b,naming,mib,known,600,0.0,-0.0232,0.0232,0.0,-0.0232,0.0232,0.0,0.0543,-0.0215,0.13,37,-0.0039,-0.0332,0.0332,False,False,False
q4b,naming,mib,deficient,600,-0.14,-0.1704,-0.1096,0.14,0.1096,0.1704,0.0,0.0769,0.0532,0.1006,350,-0.0283,-0.0703,0.0082,True,True,False
q4b,naming,lcd,known,600,0.16,0.1237,0.1963,-0.16,-0.1963,-0.1237,0.0,0.0982,0.0238,0.1726,41,-0.1255,-0.1612,-0.0717,True,True,False
q4b,naming,lcd,deficient,600,-0.0333,-0.0653,-0.0013,0.0333,0.0013,0.0653,0.0,0.1737,0.1475,0.1998,383,0.1483,0.1054,0.1848,True,True,True
q4b,naming,vcd,did_err,600,-0.0333,-0.0636,-0.003,,,,,,,,,,,,True,,
q4b,naming,vcd,did_conf,410,,,,,,,,0.0508,-0.0077,0.1093,,,,,,False,
q4b,naming,vcd,did_ece,600,,,,,,,,,,,,0.427,0.3607,0.4695,,,True
q4b,naming,mib,did_err,600,-0.14,-0.1782,-0.1018,,,,,,,,,,,,True,,
q4b,naming,mib,did_conf,350,,,,,,,,0.0226,-0.0568,0.1021,,,,,,False,
q4b,naming,mib,did_ece,600,,,,,,,,,,,,-0.0244,-0.0793,0.0217,,,False
q4b,naming,lcd,did_err,600,-0.1933,-0.2417,-0.145,,,,,,,,,,,,True,,
q4b,naming,lcd,did_conf,383,,,,,,,,0.0755,-0.0034,0.1543,,,,,,False,
q4b,naming,lcd,did_ece,600,,,,,,,,,,,,0.2739,0.2049,0.3222,,,True
q4b,existence,vcd,known,500,0.004,-0.0071,0.0151,-0.004,-0.0151,0.0071,0.0,0.1827,0.0553,0.31,10,-0.1367,-0.15,-0.1178,False,True,False
q4b,existence,vcd,deficient,500,0.0,-0.0124,0.0124,0.0,-0.0124,0.0124,0.0,0.2676,0.1567,0.3784,14,-0.1682,-0.1836,-0.1484,False,True,False
q4b,existence,mib,known,500,0.006,-0.0028,0.0148,-0.006,-0.0148,0.0028,0.0,0.0726,-0.0822,0.2274,12,-0.0391,-0.0603,-0.0163,False,False,False
q4b,existence,mib,deficient,500,0.012,-0.0027,0.0267,-0.012,-0.0267,0.0027,0.0,0.1933,0.0521,0.3345,15,-0.0678,-0.0914,-0.0453,False,True,False
q4b,existence,lcd,known,500,0.014,-0.0012,0.0292,-0.014,-0.0292,0.0012,0.0,0.2396,0.1576,0.3216,9,-0.1446,-0.1568,-0.1239,False,True,False
q4b,existence,lcd,deficient,500,0.038,0.0186,0.0574,-0.038,-0.0574,-0.0186,0.0,0.2504,0.1877,0.3131,16,-0.1636,-0.1859,-0.1368,True,True,False
q4b,existence,vcd,did_err,500,-0.004,-0.0207,0.0127,,,,,,,,,,,,False,,
q4b,existence,vcd,did_conf,14,,,,,,,,0.0849,-0.0839,0.2537,,,,,,False,
q4b,existence,vcd,did_ece,500,,,,,,,,,,,,-0.0315,-0.0557,-0.0074,,,True
q4b,existence,mib,did_err,500,0.006,-0.0111,0.0231,,,,,,,,,,,,False,,
q4b,existence,mib,did_conf,15,,,,,,,,0.1206,-0.0889,0.3302,,,,,,False,
q4b,existence,mib,did_ece,500,,,,,,,,,,,,-0.0287,-0.0599,0.0001,,,False
q4b,existence,lcd,did_err,500,0.024,-0.0006,0.0486,,,,,,,,,,,,False,,
q4b,existence,lcd,did_conf,16,,,,,,,,0.0108,-0.0924,0.114,,,,,,False,
q4b,existence,lcd,did_ece,500,,,,,,,,,,,,-0.019,-0.0514,0.0094,,,False
q9b,naming,vcd,known,600,0.0083,-0.0087,0.0253,-0.0067,-0.024,0.0107,-0.0017,0.392,0.3297,0.4543,37,-0.2112,-0.2408,-0.1791,False,True,False
q9b,naming,vcd,deficient,600,-0.0033,-0.0326,0.026,0.0033,-0.026,0.0326,0.0,0.3846,0.3655,0.4037,411,0.3801,0.345,0.408,False,True,True
q9b,naming,mib,known,600,0.0333,0.0103,0.0563,-0.0317,-0.0549,-0.0084,-0.0017,0.0783,-0.0132,0.1697,33,-0.0299,-0.0552,-0.0011,True,False,False
q9b,naming,mib,deficient,600,-0.1117,-0.144,-0.0793,0.1117,0.0793,0.144,0.0,0.1063,0.0835,0.1292,366,0.0412,0.0051,0.0728,True,True,True
q9b,naming,lcd,known,600,0.175,0.1399,0.2101,-0.1733,-0.2086,-0.1381,-0.0017,0.232,0.1514,0.3126,34,-0.1987,-0.2327,-0.1571,True,True,False
q9b,naming,lcd,deficient,600,0.025,-0.0075,0.0575,-0.025,-0.0575,0.0075,0.0,0.1542,0.1311,0.1772,410,0.1906,0.1539,0.2198,False,True,True
q9b,naming,vcd,did_err,600,-0.0117,-0.0455,0.0222,,,,,,,,,,,,False,,
q9b,naming,vcd,did_conf,411,,,,,,,,-0.0074,-0.0725,0.0578,,,,,,False,
q9b,naming,vcd,did_ece,600,,,,,,,,,,,,0.5914,0.5405,0.6296,,,True
q9b,naming,mib,did_err,600,-0.145,-0.1847,-0.1053,,,,,,,,,,,,True,,
q9b,naming,mib,did_conf,366,,,,,,,,0.0281,-0.0662,0.1224,,,,,,False,
q9b,naming,mib,did_ece,600,,,,,,,,,,,,0.0712,0.0257,0.1122,,,True
q9b,naming,lcd,did_err,600,-0.15,-0.1978,-0.1022,,,,,,,,,,,,True,,
q9b,naming,lcd,did_conf,410,,,,,,,,-0.0778,-0.1616,0.006,,,,,,False,
q9b,naming,lcd,did_ece,600,,,,,,,,,,,,0.3893,0.3309,0.4349,,,True
q9b,existence,vcd,known,500,0.016,0.0003,0.0317,-0.016,-0.0317,-0.0003,0.0,0.2805,0.0572,0.5037,6,-0.133,-0.1586,-0.1065,True,True,False
q9b,existence,vcd,deficient,500,0.082,0.0554,0.1086,-0.082,-0.1086,-0.0554,0.0,0.3149,0.2231,0.4068,13,-0.1456,-0.1762,-0.1063,True,True,False
q9b,existence,mib,known,500,0.0,-0.0056,0.0056,0.0,-0.0056,0.0056,0.0,0.1192,-0.008,0.2464,9,-0.0855,-0.1059,-0.0676,False,False,False
q9b,existence,mib,deficient,500,0.01,0.0012,0.0188,-0.01,-0.0188,-0.0012,0.0,0.0699,-0.0045,0.1444,17,-0.0953,-0.1148,-0.0766,True,False,False
q9b,existence,lcd,known,500,0.48,0.4343,0.5257,-0.48,-0.5257,-0.4343,0.0,0.2183,0.0361,0.4006,5,0.1884,0.1374,0.2406,True,True,True
q9b,existence,lcd,deficient,500,0.466,0.4181,0.5139,-0.466,-0.5139,-0.4181,0.0,0.3112,0.2181,0.4042,5,0.165,0.1174,0.2191,True,True,True
q9b,existence,vcd,did_err,500,0.066,0.0352,0.0968,,,,,,,,,,,,True,,
q9b,existence,vcd,did_conf,13,,,,,,,,0.0344,-0.207,0.2759,,,,,,False,
q9b,existence,vcd,did_ece,500,,,,,,,,,,,,-0.0126,-0.0533,0.0356,,,False
q9b,existence,mib,did_err,500,0.01,-0.0004,0.0204,,,,,,,,,,,,False,,
q9b,existence,mib,did_conf,17,,,,,,,,-0.0493,-0.1966,0.0981,,,,,,False,
q9b,existence,mib,did_ece,500,,,,,,,,,,,,-0.0098,-0.036,0.0165,,,False
q9b,existence,lcd,did_err,500,-0.014,-0.0802,0.0522,,,,,,,,,,,,False,,
q9b,existence,lcd,did_conf,5,,,,,,,,0.0929,-0.1118,0.2975,,,,,,False,
q9b,existence,lcd,did_ece,500,,,,,,,,,,,,-0.0233,-0.0959,0.0512,,,False
