D,equivalent(d=0.05),hi90,lo90,mean_K,mean_R,method,metric,n_K,n_R,pair
-0.0024,True,0.0305,-0.0349,0.3082,0.3058,vcd,d_wrong_conf,166,244,q4b@food101
-0.1118,False,-0.067,-0.1587,0.3082,0.1964,vcd,d_ece,166,275,q4b@food101
0.0189,False,0.0632,-0.0264,0.1625,0.1813,lcd,d_wrong_conf,156,227,q4b@food101
-0.1145,False,-0.0493,-0.1671,0.1161,0.0016,lcd,d_ece,166,275,q4b@food101
-0.0129,True,0.0184,-0.0453,0.3926,0.3797,vcd,d_wrong_conf,155,256,q9b@food101
-0.1036,False,-0.0599,-0.1477,0.3666,0.263,vcd,d_ece,159,293,q9b@food101
-0.0258,False,0.013,-0.0634,0.1704,0.1446,lcd,d_wrong_conf,152,258,q9b@food101
-0.0879,False,-0.0253,-0.1392,0.1271,0.0393,lcd,d_ece,159,293,q9b@food101
-0.0051,True,0.0273,-0.0359,0.4169,0.4118,vcd,d_wrong_conf,415,153,internvl4b@food101
-0.036,False,0.0067,-0.0814,0.3954,0.3593,vcd,d_ece,424,161,internvl4b@food101
-0.0517,False,-0.0158,-0.0895,0.175,0.1233,lcd,d_wrong_conf,421,155,internvl4b@food101
-0.0783,False,-0.0367,-0.1235,0.1673,0.089,lcd,d_ece,424,161,internvl4b@food101
-0.0412,False,-0.0109,-0.0706,0.3947,0.3536,vcd,d_wrong_conf,390,126,llava16@food101
-0.0599,False,-0.017,-0.1007,0.3656,0.3057,vcd,d_ece,401,132,llava16@food101
-0.0119,False,0.0277,-0.053,0.2185,0.2065,lcd,d_wrong_conf,310,108,llava16@food101
-0.005,True,0.0358,-0.0433,0.1858,0.1808,lcd,d_ece,401,132,llava16@food101
0.0726,False,0.1006,0.0412,0.1604,0.233,vcd,d_wrong_conf,122,357,q3vl4b@food101
0.0142,False,0.0507,-0.0214,0.1604,0.1746,vcd,d_ece,122,380,q3vl4b@food101
0.0233,False,0.0525,-0.0077,0.1115,0.1348,lcd,d_wrong_conf,121,354,q3vl4b@food101
-0.0409,False,-0.0052,-0.0812,0.1079,0.067,lcd,d_ece,122,380,q3vl4b@food101
0.0226,True,0.0477,-0.0014,0.1107,0.1333,vcd,d_wrong_conf,470,196,q4b@dogs
-0.0724,False,-0.0286,-0.1125,0.0783,0.0059,vcd,d_ece,488,229,q4b@dogs
-0.0358,False,-0.0026,-0.0706,-0.0584,-0.0942,lcd,d_wrong_conf,450,173,q4b@dogs
-0.1985,False,-0.134,-0.2517,-0.1374,-0.3359,lcd,d_ece,488,229,q4b@dogs
-0.0016,True,0.0191,-0.021,0.1131,0.1115,vcd,d_wrong_conf,394,321,q9b@dogs
-0.0045,True,0.0167,-0.0251,0.1099,0.1054,vcd,d_ece,396,323,q9b@dogs
-0.0008,True,0.0226,-0.0252,0.1105,0.1097,lcd,d_wrong_conf,395,302,q9b@dogs
-0.0668,False,-0.0334,-0.1027,0.1077,0.0409,lcd,d_ece,396,323,q9b@dogs
