model,method,stratum,signal,auc,n_harmed,n_helped
q4b,vcd,known,entropy,0.6234,22,7
q4b,vcd,known,jsd,0.5455,22,7
q4b,vcd,known,logistic_combo,0.6558,22,7
q4b,vcd,deficient,entropy,0.7494,26,31
q4b,vcd,deficient,jsd,0.2643,26,31
q4b,vcd,deficient,logistic_combo,0.7457,26,31
q4b,vcd,all,entropy,0.5779,48,38
q4b,vcd,all,jsd,0.4315,48,38
q4b,vcd,all,logistic_combo,0.5652,48,38
q4b,mib,known,entropy,0.5072,25,25
q4b,mib,known,jsd,0.488,25,25
q4b,mib,known,logistic_combo,0.5408,25,25
q4b,mib,deficient,entropy,0.6028,7,91
q4b,mib,deficient,jsd,0.5243,7,91
q4b,mib,deficient,logistic_combo,0.6954,7,91
q4b,mib,all,entropy,0.4601,32,116
q4b,mib,all,jsd,0.5482,32,116
q4b,mib,all,logistic_combo,0.5477,32,116
q4b,lcd,known,entropy,0.2788,117,21
q4b,lcd,known,jsd,0.7932,117,21
q4b,lcd,known,logistic_combo,0.7916,117,21
q4b,lcd,deficient,entropy,0.6484,38,58
q4b,lcd,deficient,jsd,0.4537,38,58
q4b,lcd,deficient,logistic_combo,0.7246,38,58
q4b,lcd,all,entropy,0.3188,155,79
q4b,lcd,all,jsd,0.7332,155,79
q4b,lcd,all,logistic_combo,0.737,155,79
q4b,pooled,known,entropy,0.3035,136,32
q4b,pooled,known,jsd,0.7489,136,32
q4b,pooled,known,logistic_combo,0.7475,136,32
q4b,pooled,deficient,entropy,0.7015,52,126
q4b,pooled,deficient,jsd,0.3939,52,126
q4b,pooled,deficient,logistic_combo,0.7289,52,126
q4b,pooled,all,entropy,0.3685,188,158
q4b,pooled,all,jsd,0.6538,188,158
q4b,pooled,all,logistic_combo,0.6538,188,158
q9b,vcd,known,entropy,0.2841,16,11
q9b,vcd,known,jsd,0.5057,16,11
q9b,vcd,known,logistic_combo,0.767,16,11
q9b,vcd,deficient,entropy,0.4234,39,41
q9b,vcd,deficient,jsd,0.4922,39,41
q9b,vcd,deficient,logistic_combo,0.5835,39,41
q9b,vcd,all,entropy,0.3979,55,52
q9b,vcd,all,jsd,0.4976,55,52
q9b,vcd,all,logistic_combo,0.6101,55,52
q9b,mib,known,entropy,0.4133,35,15
q9b,mib,known,jsd,0.581,35,15
q9b,mib,known,logistic_combo,0.6171,35,15
q9b,mib,deficient,entropy,0.3978,19,86
q9b,mib,deficient,jsd,0.6071,19,86
q9b,mib,deficient,logistic_combo,0.6034,19,86
q9b,mib,all,entropy,0.315,54,101
q9b,mib,all,jsd,0.6494,54,101
q9b,mib,all,logistic_combo,0.6927,54,101
q9b,lcd,known,entropy,0.1831,119,14
q9b,lcd,known,jsd,0.7161,119,14
q9b,lcd,known,logistic_combo,0.8151,119,14
q9b,lcd,deficient,entropy,0.4662,57,42
q9b,lcd,deficient,jsd,0.4507,57,42
q9b,lcd,deficient,logistic_combo,0.4896,57,42
q9b,lcd,all,entropy,0.2768,176,56
q9b,lcd,all,jsd,0.6348,176,56
q9b,lcd,all,logistic_combo,0.7202,176,56
q9b,pooled,known,entropy,0.1944,144,26
q9b,pooled,known,jsd,0.7089,144,26
q9b,pooled,known,logistic_combo,0.8117,144,26
q9b,pooled,deficient,entropy,0.4181,84,118
q9b,pooled,deficient,jsd,0.5201,84,118
q9b,pooled,deficient,logistic_combo,0.5733,84,118
q9b,pooled,all,entropy,0.2703,228,144
q9b,pooled,all,jsd,0.6489,228,144
q9b,pooled,all,logistic_combo,0.7299,228,144
