model,task,method,tier,n,d_certain_error,err_lo,err_hi,d_accuracy,acc_lo,acc_hi,d_abstain,abs_lo,abs_hi,err_ci_excl_zero
q4b,naming,vcd,high,97,-0.0825,-0.1382,-0.0267,0.0825,0.0267,0.1382,0.0,0.0,0.0,True
q4b,naming,vcd,low,97,-0.0206,-0.0855,0.0443,0.0206,-0.0443,0.0855,0.0,0.0,0.0,False
q4b,naming,mib,high,97,0.0,-0.0823,0.0823,0.0,-0.0823,0.0823,0.0,0.0,0.0,False
q4b,naming,mib,low,97,-0.0412,-0.1281,0.0456,0.0412,-0.0456,0.1281,0.0,0.0,0.0,False
q4b,naming,lcd,high,97,0.0103,-0.0579,0.0785,-0.0103,-0.0785,0.0579,0.0,0.0,0.0,False
q4b,naming,lcd,low,97,0.0722,-0.0254,0.1697,-0.0722,-0.1697,0.0254,0.0,0.0,0.0,False
q4b,existence,vcd,high,194,0.0052,-0.005,0.0153,-0.0052,-0.0153,0.005,0.0,0.0,0.0,False
q4b,existence,vcd,low,194,0.0,-0.0144,0.0144,0.0,-0.0144,0.0144,0.0,0.0,0.0,False
q4b,existence,mib,high,194,0.0155,-0.0021,0.033,-0.0155,-0.033,0.0021,0.0,0.0,0.0,False
q4b,existence,mib,low,194,0.0103,-0.01,0.0306,-0.0103,-0.0306,0.01,0.0,0.0,0.0,False
q4b,existence,lcd,high,194,0.0155,-0.0021,0.033,-0.0155,-0.033,0.0021,0.0,0.0,0.0,False
q4b,existence,lcd,low,194,0.0206,-0.0042,0.0454,-0.0206,-0.0454,0.0042,0.0,0.0,0.0,False
q4b,naming,vcd,low_minus_high,97,0.0619,-0.0237,0.1474,,,,,,,False
q4b,naming,mib,low_minus_high,97,-0.0412,-0.1609,0.0784,,,,,,,False
q4b,naming,lcd,low_minus_high,97,0.0619,-0.0572,0.1809,,,,,,,False
q4b,existence,vcd,low_minus_high,194,-0.0052,-0.0228,0.0125,,,,,,,False
q4b,existence,mib,low_minus_high,194,-0.0052,-0.032,0.0217,,,,,,,False
q4b,existence,lcd,low_minus_high,194,0.0052,-0.0252,0.0355,,,,,,,False
q9b,naming,vcd,high,97,-0.0103,-0.072,0.0514,0.0103,-0.0514,0.072,0.0,0.0,0.0,False
q9b,naming,vcd,low,97,0.0515,-0.0219,0.125,-0.0412,-0.112,0.0295,-0.0103,-0.0308,0.0102,False
q9b,naming,mib,high,97,-0.0206,-0.0918,0.0505,0.0206,-0.0505,0.0918,0.0,0.0,0.0,False
q9b,naming,mib,low,97,0.0515,-0.0326,0.1357,-0.0412,-0.1231,0.0406,-0.0103,-0.0308,0.0102,False
q9b,naming,lcd,high,97,0.0412,-0.0353,0.1177,-0.0412,-0.1177,0.0353,0.0,0.0,0.0,False
q9b,naming,lcd,low,97,0.1031,-0.0037,0.2099,-0.0928,-0.198,0.0124,-0.0103,-0.0308,0.0102,False
q9b,existence,vcd,high,194,-0.0052,-0.0321,0.0218,0.0052,-0.0218,0.0321,0.0,0.0,0.0,False
q9b,existence,vcd,low,194,-0.0052,-0.0279,0.0176,0.0052,-0.0176,0.0279,0.0,0.0,0.0,False
q9b,existence,mib,high,194,0.0052,-0.005,0.0153,-0.0052,-0.0153,0.005,0.0,0.0,0.0,False
q9b,existence,mib,low,194,0.0103,-0.004,0.0246,-0.0103,-0.0246,0.004,0.0,0.0,0.0,False
q9b,existence,lcd,high,194,0.4691,0.3968,0.5414,-0.4691,-0.5414,-0.3968,0.0,0.0,0.0,True
q9b,existence,lcd,low,194,0.4742,0.4019,0.5466,-0.4742,-0.5466,-0.4019,0.0,0.0,0.0,True
q9b,naming,vcd,low_minus_high,97,0.0619,-0.034,0.1577,,,,,,,False
q9b,naming,mib,low_minus_high,97,0.0722,-0.038,0.1824,,,,,,,False
q9b,naming,lcd,low_minus_high,97,0.0619,-0.0695,0.1933,,,,,,,False
q9b,existence,vcd,low_minus_high,194,0.0,-0.0353,0.0353,,,,,,,False
q9b,existence,mib,low_minus_high,194,0.0052,-0.0124,0.0227,,,,,,,False
q9b,existence,lcd,low_minus_high,194,0.0052,-0.0971,0.1074,,,,,,,False
