model,method,tier,signal,auc,n_harmed,n_helped
q4b,vcd,high,entropy,nan,0,8
q4b,vcd,high,jsd,nan,0,8
q4b,vcd,high,logistic_combo,nan,0,8
q4b,vcd,low,entropy,0.5417,4,6
q4b,vcd,low,jsd,0.75,4,6
q4b,vcd,low,logistic_combo,0.9167,4,6
q4b,vcd,all,entropy,0.5893,4,14
q4b,vcd,all,jsd,0.6786,4,14
q4b,vcd,all,logistic_combo,0.8929,4,14
q4b,mib,high,entropy,0.6875,8,8
q4b,mib,high,jsd,0.5312,8,8
q4b,mib,high,logistic_combo,0.7344,8,8
q4b,mib,low,entropy,0.2078,7,11
q4b,mib,low,jsd,0.9351,7,11
q4b,mib,low,logistic_combo,0.9221,7,11
q4b,mib,all,entropy,0.3965,15,19
q4b,mib,all,jsd,0.7474,15,19
q4b,mib,all,logistic_combo,0.7614,15,19
q4b,lcd,high,entropy,0.4333,6,5
q4b,lcd,high,jsd,0.5667,6,5
q4b,lcd,high,logistic_combo,0.6333,6,5
q4b,lcd,low,entropy,0.4417,15,8
q4b,lcd,low,jsd,0.65,15,8
q4b,lcd,low,logistic_combo,0.675,15,8
q4b,lcd,all,entropy,0.4542,21,13
q4b,lcd,all,jsd,0.6081,21,13
q4b,lcd,all,logistic_combo,0.6117,21,13
q4b,pooled,high,entropy,0.4556,12,15
q4b,pooled,high,jsd,0.5778,12,15
q4b,pooled,high,logistic_combo,0.5556,12,15
q4b,pooled,low,entropy,0.3651,21,15
q4b,pooled,low,jsd,0.7556,21,15
q4b,pooled,low,logistic_combo,0.7683,21,15
q4b,pooled,all,entropy,0.4253,33,30
q4b,pooled,all,jsd,0.6667,33,30
q4b,pooled,all,logistic_combo,0.6949,33,30
q9b,vcd,high,entropy,0.4,4,5
q9b,vcd,high,jsd,0.4,4,5
q9b,vcd,high,logistic_combo,0.75,4,5
q9b,vcd,low,entropy,0.6389,9,4
q9b,vcd,low,jsd,0.3056,9,4
q9b,vcd,low,logistic_combo,0.6667,9,4
q9b,vcd,all,entropy,0.6068,13,9
q9b,vcd,all,jsd,0.3333,13,9
q9b,vcd,all,logistic_combo,0.6154,13,9
q9b,mib,high,entropy,0.4286,5,7
q9b,mib,high,jsd,0.5143,5,7
q9b,mib,high,logistic_combo,0.5714,5,7
q9b,mib,low,entropy,0.4545,11,6
q9b,mib,low,jsd,0.6818,11,6
q9b,mib,low,logistic_combo,0.5455,11,6
q9b,mib,all,entropy,0.4808,16,13
q9b,mib,all,jsd,0.5673,16,13
q9b,mib,all,logistic_combo,0.5048,16,13
q9b,lcd,high,entropy,0.4889,9,5
q9b,lcd,high,jsd,0.4444,9,5
q9b,lcd,high,logistic_combo,0.6444,9,5
q9b,lcd,low,entropy,0.4327,19,9
q9b,lcd,low,jsd,0.7135,19,9
q9b,lcd,low,logistic_combo,0.5731,19,9
q9b,lcd,all,entropy,0.449,28,14
q9b,lcd,all,jsd,0.5995,28,14
q9b,lcd,all,logistic_combo,0.5867,28,14
q9b,pooled,high,entropy,0.3905,13,13
q9b,pooled,high,jsd,0.5444,13,13
q9b,pooled,high,logistic_combo,0.7337,13,13
q9b,pooled,low,entropy,0.4476,26,11
q9b,pooled,low,jsd,0.6818,26,11
q9b,pooled,low,logistic_combo,0.535,26,11
q9b,pooled,all,entropy,0.4562,39,24
q9b,pooled,all,jsd,0.5769,39,24
q9b,pooled,all,logistic_combo,0.5513,39,24
