model,rule,m_star,tau_entropy,tau_jsd,tier,n,accuracy,abstain_rate,certain_error_rate,d_err_vs_direct,d_acc_vs_direct
q4b,remedy_high_tuned,vcd,1.9175,0.5935,high,97,0.3814,0.299,0.3196,-0.2887,-0.0103
q4b,remedy_high_tuned,vcd,1.9175,0.5935,low,97,0.268,0.567,0.1649,-0.4433,-0.1237
q4b,remedy_median,vcd,1.7624,0.6555,high,97,0.3196,0.3711,0.3093,-0.299,-0.0722
q4b,remedy_median,vcd,1.7624,0.6555,low,97,0.2268,0.6289,0.1443,-0.4639,-0.1649
q4b,ideal,,,,high,97,0.5464,0.4536,0.0,-0.6082,0.1546
q4b,ideal,,,,low,97,0.5464,0.4536,0.0,-0.6082,0.1546
q9b,remedy_high_tuned,mib,2.3133,0.5813,high,97,0.3814,0.1031,0.5155,-0.0928,-0.0103
q9b,remedy_high_tuned,mib,2.3133,0.5813,low,97,0.3608,0.1856,0.4536,-0.0722,-0.1031
q9b,remedy_median,mib,1.3563,0.6801,high,97,0.3196,0.3918,0.2887,-0.3196,-0.0722
q9b,remedy_median,mib,1.3563,0.6801,low,97,0.1959,0.6082,0.1959,-0.3299,-0.268
q9b,ideal,,,,high,97,0.5258,0.4742,0.0,-0.6082,0.134
q9b,ideal,,,,low,97,0.5773,0.4227,0.0,-0.5258,0.1134
