model,task,method,stratum,n,accuracy,abstain_rate,certain_error_rate,wrong_answer_conf,n_wrong,calibration_ece,mean_forwards,mean_wall_s,hallucination_on_neg
q4b,naming,direct,known,600,0.8367,0.06,0.1033,0.4707,62,0.2065,4.5,0.425,
q4b,naming,direct,deficient,600,0.16,0.105,0.735,0.4192,441,0.2636,4.4,0.408,
q4b,naming,vcd,known,600,0.8117,0.06,0.1283,0.6901,77,0.0771,9.1,0.852,
q4b,naming,vcd,deficient,600,0.1683,0.105,0.7267,0.7273,436,0.5611,9.0,0.819,
q4b,naming,mib,known,600,0.8367,0.06,0.1033,0.5635,62,0.2027,9.7,0.894,
q4b,naming,mib,deficient,600,0.3,0.105,0.595,0.4986,357,0.2353,10.1,0.896,
q4b,naming,lcd,known,600,0.6767,0.06,0.2633,0.5581,158,0.081,4.9,0.876,
q4b,naming,lcd,deficient,600,0.1933,0.105,0.7017,0.5915,421,0.4119,4.7,0.856,
q4b,existence,direct,known,500,0.974,0.0,0.026,0.6083,13,0.1836,4.0,0.325,
q4b,existence,direct,deficient,500,0.962,0.0,0.038,0.5284,19,0.2143,4.0,0.343,
q4b,existence,direct,pos_pooled,500,0.966,0.0,0.034,,,,,,
q4b,existence,direct,neg_pooled,500,0.97,0.0,0.03,,,,,,0.03
q4b,existence,vcd,known,500,0.97,0.0,0.03,0.7816,15,0.0469,8.0,0.645,
q4b,existence,vcd,deficient,500,0.962,0.0,0.038,0.7851,19,0.0461,8.0,0.682,
q4b,existence,vcd,pos_pooled,500,0.982,0.0,0.018,,,,,,
q4b,existence,vcd,neg_pooled,500,0.95,0.0,0.05,,,,,,0.05
q4b,existence,mib,known,500,0.968,0.0,0.032,0.6175,16,0.1445,8.0,0.645,
q4b,existence,mib,deficient,500,0.95,0.0,0.05,0.6447,25,0.1465,8.0,0.682,
q4b,existence,mib,pos_pooled,500,0.942,0.0,0.058,,,,,,
q4b,existence,mib,neg_pooled,500,0.976,0.0,0.024,,,,,,0.024
q4b,existence,lcd,known,500,0.96,0.0,0.04,0.8339,20,0.039,4.0,0.543,
q4b,existence,lcd,deficient,500,0.924,0.0,0.076,0.8084,38,0.0506,4.0,0.565,
q4b,existence,lcd,pos_pooled,500,0.9,0.0,0.1,,,,,,
q4b,existence,lcd,neg_pooled,500,0.984,0.0,0.016,,,,,,0.016
q9b,naming,direct,known,600,0.9183,0.0017,0.08,0.4094,48,0.2907,4.9,0.439,
q9b,naming,direct,deficient,600,0.2467,0.0,0.7533,0.3886,452,0.148,5.0,0.478,
q9b,naming,vcd,known,600,0.9117,0.0,0.0883,0.8207,53,0.0794,10.0,0.898,
q9b,naming,vcd,deficient,600,0.25,0.0,0.75,0.7732,450,0.5281,10.9,1.029,
q9b,naming,mib,known,600,0.8867,0.0,0.1133,0.4701,68,0.2607,10.3,0.917,
q9b,naming,mib,deficient,600,0.3583,0.0,0.6417,0.5174,385,0.1893,11.1,1.045,
q9b,naming,lcd,known,600,0.745,0.0,0.255,0.608,153,0.092,5.4,0.925,
q9b,naming,lcd,deficient,600,0.2217,0.0,0.7783,0.5449,467,0.3387,5.4,0.964,
q9b,existence,direct,known,500,0.98,0.0,0.02,0.5307,10,0.2361,4.0,0.353,
q9b,existence,direct,deficient,500,0.966,0.0,0.034,0.5999,17,0.2491,4.0,0.352,
q9b,existence,direct,pos_pooled,500,0.98,0.0,0.02,,,,,,
q9b,existence,direct,neg_pooled,500,0.966,0.0,0.034,,,,,,0.034
q9b,existence,vcd,known,500,0.964,0.0,0.036,0.8626,18,0.1031,8.0,0.703,
q9b,existence,vcd,deficient,500,0.884,0.0,0.116,0.8184,58,0.1035,8.0,0.701,
q9b,existence,vcd,pos_pooled,500,0.996,0.0,0.004,,,,,,
q9b,existence,vcd,neg_pooled,500,0.852,0.0,0.148,,,,,,0.148
q9b,existence,mib,known,500,0.98,0.0,0.02,0.6397,10,0.1506,8.0,0.703,
q9b,existence,mib,deficient,500,0.956,0.0,0.044,0.6328,22,0.1537,8.0,0.701,
q9b,existence,mib,pos_pooled,500,0.976,0.0,0.024,,,,,,
q9b,existence,mib,neg_pooled,500,0.96,0.0,0.04,,,,,,0.04
q9b,existence,lcd,known,500,0.5,0.0,0.5,0.9102,250,0.4245,4.0,0.679,
q9b,existence,lcd,deficient,500,0.5,0.0,0.5,0.9214,250,0.4141,4.0,0.679,
q9b,existence,lcd,pos_pooled,500,0.0,0.0,1.0,,,,,,
q9b,existence,lcd,neg_pooled,500,1.0,0.0,0.0,,,,,,0.0
