model,family,stratum,method,n,acc_direct,acc_method,gap_direct,ece_direct,ece_method,d_ece,d_ece_lo,d_ece_hi,d_wrong_conf,d_wrong_conf_lo,d_wrong_conf_hi,n_wrong_pairs,did_ece,did_ece_lo,did_ece_hi,did_wrong_conf
q4b,qwen35,low_acc,vcd,600,0.1717,0.195,0.2298,0.2559,0.5344,0.2785,0.2375,0.3088,0.3091,0.2913,0.3275,457,,,,
q4b,qwen35,low_acc,mib,600,0.1717,0.33,0.2298,0.2559,0.2053,-0.0507,-0.0979,-0.0137,0.0829,0.0599,0.105,395,,,,
q4b,qwen35,low_acc,lcd,600,0.1717,0.21,0.2298,0.2559,0.3952,0.1393,0.094,0.1759,0.1877,0.1615,0.2127,435,,,,
q4b,qwen35,high_acc,vcd,600,0.8817,0.8533,-0.2512,0.2515,0.0707,-0.1808,-0.211,-0.1387,0.2895,0.2403,0.3387,64,,,,
q4b,qwen35,high_acc,mib,600,0.8817,0.8817,-0.2512,0.2515,0.2375,-0.0141,-0.0456,0.0178,0.0734,0.01,0.1413,43,,,,
q4b,qwen35,high_acc,lcd,600,0.8817,0.7,-0.2512,0.2515,0.0843,-0.1672,-0.2016,-0.114,0.1273,0.0578,0.1941,50,,,,
q4b,qwen35,did,vcd,600,,,,,,,,,,,,,0.4493,0.3993,0.4968,0.0196
q4b,qwen35,did,mib,600,,,,,,,,,,,,,-0.0401,-0.0959,0.0137,0.0095
q4b,qwen35,did,lcd,600,,,,,,,,,,,,,0.2952,0.235,0.3545,0.0605
q9b,qwen35,low_acc,vcd,600,0.2467,0.25,0.148,0.148,0.5281,0.3801,0.345,0.408,0.3846,0.3662,0.4041,411,,,,
q9b,qwen35,low_acc,mib,600,0.2467,0.3583,0.148,0.148,0.1893,0.0412,0.0051,0.0728,0.1063,0.0844,0.1301,366,,,,
q9b,qwen35,low_acc,lcd,600,0.2467,0.2217,0.148,0.148,0.3387,0.1906,0.1539,0.2198,0.1542,0.1302,0.1776,410,,,,
q9b,qwen35,high_acc,vcd,600,0.9183,0.9117,-0.2902,0.2907,0.0794,-0.2112,-0.2408,-0.1791,0.392,0.3305,0.4493,37,,,,
q9b,qwen35,high_acc,mib,600,0.9183,0.8867,-0.2902,0.2907,0.2607,-0.0299,-0.0552,-0.0011,0.0783,-0.006,0.1692,33,,,,
q9b,qwen35,high_acc,lcd,600,0.9183,0.745,-0.2902,0.2907,0.092,-0.1987,-0.2327,-0.1571,0.232,0.1537,0.3083,34,,,,
q9b,qwen35,did,vcd,600,,,,,,,,,,,,,0.5878,0.5447,0.6316,-0.0074
q9b,qwen35,did,mib,600,,,,,,,,,,,,,0.0687,0.0245,0.1123,0.0281
q9b,qwen35,did,lcd,600,,,,,,,,,,,,,0.384,0.3358,0.4316,-0.0778
q3vl4b,qwen_vl,low_acc,vcd,600,0.1633,0.1683,0.5256,0.5256,0.743,0.2174,0.1882,0.2445,0.2145,0.1968,0.232,479,,,,
q3vl4b,qwen_vl,low_acc,mib,600,0.1633,0.2417,0.5256,0.5256,0.5317,0.0062,-0.0289,0.0399,0.0465,0.0209,0.0717,439,,,,
q3vl4b,qwen_vl,low_acc,lcd,600,0.1633,0.18,0.5256,0.5256,0.6406,0.115,0.0876,0.1403,0.1289,0.1121,0.1465,475,,,,
q3vl4b,qwen_vl,high_acc,vcd,600,0.8933,0.8783,-0.0868,0.1295,0.0937,-0.0357,-0.0645,0.0002,0.1399,0.09,0.1922,59,,,,
q3vl4b,qwen_vl,high_acc,mib,600,0.8933,0.9133,-0.0868,0.1295,0.1021,-0.0273,-0.0603,0.0067,0.043,-0.0258,0.1167,43,,,,
q3vl4b,qwen_vl,high_acc,lcd,600,0.8933,0.8983,-0.0868,0.1295,0.1063,-0.0232,-0.0539,0.0118,0.1304,0.0891,0.1692,52,,,,
q3vl4b,qwen_vl,did,vcd,600,,,,,,,,,,,,,0.2493,0.2051,0.2931,0.0746
q3vl4b,qwen_vl,did,mib,600,,,,,,,,,,,,,0.033,-0.0161,0.0809,0.0035
q3vl4b,qwen_vl,did,lcd,600,,,,,,,,,,,,,0.1362,0.0918,0.1806,-0.0016
llava16,llava,low_acc,vcd,600,0.0183,0.045,0.379,0.379,0.7418,0.3628,0.3411,0.3835,0.3899,0.3755,0.4055,571,,,,
llava16,llava,low_acc,mib,600,0.0183,0.07,0.379,0.379,0.5784,0.1994,0.1702,0.2262,0.2409,0.2199,0.2617,555,,,,
llava16,llava,low_acc,lcd,600,0.0183,0.025,0.379,0.379,0.5784,0.1993,0.179,0.2195,0.2022,0.1852,0.2194,579,,,,
llava16,llava,high_acc,vcd,600,0.8217,0.7017,-0.2735,0.2735,0.1754,-0.0981,-0.1493,-0.0486,0.4151,0.3781,0.4519,85,,,,
llava16,llava,high_acc,mib,600,0.8217,0.6783,-0.2735,0.2735,0.0979,-0.1756,-0.2131,-0.1226,0.2369,0.1814,0.2936,75,,,,
llava16,llava,high_acc,lcd,600,0.8217,0.595,-0.2735,0.2735,0.0913,-0.1823,-0.2276,-0.1259,0.2322,0.185,0.2787,97,,,,
