pair,stratum,class,n,probe_acc_image,probe_acc_blank,gold_rank_image_mean,rank_diff_mean
q4b@food101,deficient,beef_carpaccio,24,0.0417,0.0,5.42,69.58
q4b@food101,deficient,beef_tartare,24,0.25,0.0,4.38,63.62
q4b@food101,deficient,bibimbap,24,0.9583,0.0,0.29,68.71
q4b@food101,deficient,bruschetta,24,0.75,0.0,0.62,40.38
q4b@food101,deficient,caprese_salad,24,0.9167,0.0,1.08,44.92
q4b@food101,deficient,ceviche,24,0.5,0.0,2.29,55.71
q4b@food101,deficient,chicken_curry,24,0.75,0.0,2.38,68.62
q4b@food101,deficient,crab_cakes,24,0.3333,0.0,12.42,76.58
q4b@food101,deficient,creme_brulee,24,0.9167,0.0,0.21,50.79
q4b@food101,deficient,croque_madame,24,0.0,0.0,56.12,30.88
q4b@food101,deficient,cup_cakes,24,0.1667,0.0,4.96,83.04
q4b@food101,deficient,escargots,24,0.0417,0.0,23.96,40.04
q4b@food101,deficient,filet_mignon,24,0.0,0.0,6.71,18.29
q4b@food101,deficient,fish_and_chips,24,0.875,0.0,0.17,76.83
q4b@food101,deficient,foie_gras,24,0.0833,0.0,10.21,26.79
q4b@food101,deficient,frozen_yogurt,24,0.2083,0.0,1.0,52.0
q4b@food101,deficient,gnocchi,24,0.7917,0.0,5.25,10.75
q4b@food101,deficient,gyoza,24,0.0,0.0,1.33,38.67
q4b@food101,deficient,huevos_rancheros,24,0.0,0.0,17.83,78.17
q4b@food101,deficient,panna_cotta,24,0.3333,0.0,10.75,56.25
q4b@food101,deficient,pho,24,0.875,0.0,0.12,56.88
q4b@food101,deficient,pork_chop,24,0.1667,0.0,4.54,8.46
q4b@food101,deficient,prime_rib,24,0.0,0.0,3.42,58.58
q4b@food101,deficient,strawberry_shortcake,24,0.625,0.0,1.58,68.42
q4b@food101,deficient,tuna_tartare,24,0.1667,0.0,8.54,77.46
q4b@food101,known,chicken_wings,24,0.9583,0.0,0.21,32.79
q4b@food101,known,churros,24,0.875,0.0,0.75,42.25
q4b@food101,known,clam_chowder,24,0.875,0.0,0.42,78.58
q4b@food101,known,club_sandwich,24,0.6667,0.0,0.62,77.38
q4b@food101,known,deviled_eggs,24,1.0,0.0,0.0,60.0
q4b@food101,known,edamame,24,0.9583,0.0,0.42,72.58
q4b@food101,known,french_fries,24,0.9167,0.0,2.04,28.96
q4b@food101,known,greek_salad,24,0.2917,0.0,5.29,50.71
q4b@food101,known,hot_and_sour_soup,24,0.7917,0.0,0.42,97.58
q4b@food101,known,hot_dog,24,0.9583,0.0,0.08,21.92
q4b@food101,known,lobster_bisque,24,0.0,0.0,4.58,87.42
q4b@food101,known,miso_soup,24,0.5833,0.0,2.5,49.5
q4b@food101,known,nachos,24,1.0,0.0,0.0,24.0
q4b@food101,known,onion_rings,24,1.0,0.0,0.0,61.0
q4b@food101,known,oysters,24,0.9167,0.0,0.62,44.38
q4b@food101,known,pizza,24,0.9583,1.0,0.17,-0.17
q4b@food101,known,samosa,24,0.875,0.0,2.79,12.21
q4b@food101,known,spaghetti_bolognese,24,0.0417,0.0,4.17,75.83
q4b@food101,known,spaghetti_carbonara,24,0.0417,0.0,7.21,66.79
q4b@food101,known,spring_rolls,24,1.0,0.0,0.0,76.0
q4b@food101,known,steak,24,0.9583,0.0,0.04,0.96
q4b@food101,known,sushi,24,1.0,0.0,0.0,3.0
q4b@food101,known,tacos,24,0.9583,0.0,0.04,19.96
q4b@food101,known,tiramisu,24,0.5833,0.0,7.21,28.79
q4b@food101,known,waffles,24,0.9583,0.0,0.08,25.92
q4b@food101,known,(overall),600,0.7667,0.04,1.59,45.53
q4b@food101,deficient,(overall),600,0.39,0.0,7.42,52.82
q9b@food101,deficient,beef_carpaccio,24,0.0,0.0,9.33,72.67
q9b@food101,deficient,beef_tartare,24,0.0,0.0,7.25,64.75
q9b@food101,deficient,beignets,24,0.5417,0.0,5.0,20.0
q9b@food101,deficient,cannoli,24,0.9167,0.0,0.33,32.67
q9b@food101,deficient,ceviche,24,0.4167,0.0,2.67,54.33
q9b@food101,deficient,crab_cakes,24,0.6667,0.0,4.42,78.58
q9b@food101,deficient,creme_brulee,24,0.9167,0.0,0.08,23.92
q9b@food101,deficient,croque_madame,24,0.0,0.0,16.33,72.67
q9b@food101,deficient,cup_cakes,24,0.4583,0.0,4.5,91.5
q9b@food101,deficient,escargots,24,0.2917,0.0,10.96,54.04
q9b@food101,deficient,filet_mignon,24,0.0,0.0,2.25,40.75
q9b@food101,deficient,foie_gras,24,0.0833,0.0,11.04,30.96
q9b@food101,deficient,frozen_yogurt,24,0.5417,0.0,0.46,39.54
q9b@food101,deficient,gnocchi,24,0.7917,0.0,3.62,22.38
q9b@food101,deficient,huevos_rancheros,24,0.2083,0.0,1.83,78.17
q9b@food101,deficient,paella,24,0.7083,0.0,0.38,2.62
q9b@food101,deficient,panna_cotta,24,0.0,0.0,13.33,35.67
q9b@food101,deficient,pho,24,0.625,0.0,1.08,54.92
q9b@food101,deficient,pork_chop,24,0.2083,0.0,3.04,13.96
q9b@food101,deficient,prime_rib,24,0.0417,0.0,6.58,16.42
q9b@food101,deficient,sashimi,24,0.0,0.0,1.46,2.54
q9b@food101,deficient,scallops,24,0.8333,0.0,1.08,28.92
q9b@food101,deficient,shrimp_and_grits,24,0.625,0.0,6.46,91.54
q9b@food101,deficient,strawberry_shortcake,24,0.5833,0.0,1.0,76.0
q9b@food101,deficient,tuna_tartare,24,0.25,0.0,3.79,89.21
q9b@food101,known,beet_salad,24,0.6667,0.0,7.83,80.17
q9b@food101,known,caesar_salad,24,0.9167,0.0,2.04,24.96
q9b@food101,known,clam_chowder,24,0.5833,0.0,1.83,92.17
q9b@food101,known,club_sandwich,24,0.3333,0.0,2.12,65.88
q9b@food101,known,deviled_eggs,24,1.0,0.0,0.0,41.0
q9b@food101,known,edamame,24,0.9583,0.0,0.25,33.75
q9b@food101,known,french_fries,24,0.9583,0.0,2.58,33.42
q9b@food101,known,fried_rice,24,0.9583,0.0,0.29,43.71
q9b@food101,known,greek_salad,24,0.0417,0.0,13.54,40.46
q9b@food101,known,hamburger,24,0.9583,0.0,0.04,18.96
q9b@food101,known,hot_and_sour_soup,24,0.0,0.0,9.12,89.88
q9b@food101,known,hot_dog,24,0.9167,0.0,1.0,27.0
q9b@food101,known,lobster_bisque,24,0.125,0.0,7.54,83.46
q9b@food101,known,lobster_roll_sandwich,24,0.375,0.0,6.83,93.17
q9b@food101,known,miso_soup,24,0.5417,0.0,1.0,45.0
q9b@food101,known,mussels,24,0.9583,0.0,0.04,50.96
q9b@food101,known,oysters,24,0.9167,0.0,1.58,29.42
q9b@food101,known,pizza,24,0.9583,0.0,0.42,4.58
q9b@food101,known,spaghetti_bolognese,24,0.7083,0.0,2.92,89.08
q9b@food101,known,spaghetti_carbonara,24,0.375,0.0,2.79,87.21
q9b@food101,known,spring_rolls,24,1.0,0.0,0.0,69.0
q9b@food101,known,steak,24,0.9583,0.0,0.04,1.96
q9b@food101,known,sushi,24,1.0,0.0,0.0,21.0
q9b@food101,known,tacos,24,1.0,0.0,0.0,53.0
q9b@food101,known,waffles,24,0.375,0.0,1.38,35.62
q9b@food101,known,(overall),600,0.7033,0.0,2.61,50.19
q9b@food101,deficient,(overall),600,0.3883,0.0,4.73,47.55
q3vl4b@food101,deficient,beef_carpaccio,24,0.0,0.0,11.79,40.21
q3vl4b@food101,deficient,beef_tartare,24,0.0,0.0,5.62,35.38
q3vl4b@food101,deficient,bibimbap,24,0.9167,0.0,0.42,70.58
q3vl4b@food101,deficient,caprese_salad,24,0.25,0.0,7.25,79.75
q3vl4b@food101,deficient,ceviche,24,0.2083,0.0,4.29,21.71
q3vl4b@food101,deficient,chicken_curry,24,0.25,0.0,5.58,84.42
q3vl4b@food101,deficient,crab_cakes,24,0.75,0.0,3.46,81.54
q3vl4b@food101,deficient,creme_brulee,24,0.875,0.0,1.46,63.54
q3vl4b@food101,deficient,croque_madame,24,0.0,0.0,61.79,35.21
q3vl4b@food101,deficient,cup_cakes,24,0.0,0.0,13.17,58.83
q3vl4b@food101,deficient,eggs_benedict,24,0.25,0.0,2.88,95.12
q3vl4b@food101,deficient,escargots,24,0.0,0.0,47.25,20.75
q3vl4b@food101,deficient,falafel,24,0.7083,0.0,0.83,5.17
q3vl4b@food101,deficient,filet_mignon,24,0.0,0.0,12.75,71.25
q3vl4b@food101,deficient,foie_gras,24,0.0417,0.0,17.29,27.71
q3vl4b@food101,deficient,frozen_yogurt,24,0.25,0.0,0.75,24.25
q3vl4b@food101,deficient,gyoza,24,0.0,0.0,3.21,43.79
q3vl4b@food101,deficient,huevos_rancheros,24,0.0,0.0,25.17,73.83
q3vl4b@food101,deficient,macarons,24,0.9167,0.0,2.29,46.71
q3vl4b@food101,deficient,panna_cotta,24,0.0,0.0,19.21,36.79
q3vl4b@food101,deficient,pho,24,0.1667,0.0,7.67,43.33
q3vl4b@food101,deficient,prime_rib,24,0.0,0.0,6.0,53.0
q3vl4b@food101,deficient,spring_rolls,24,0.9583,0.0,1.21,81.79
q3vl4b@food101,deficient,strawberry_shortcake,24,0.25,0.0,4.12,70.88
q3vl4b@food101,deficient,tuna_tartare,24,0.4583,0.0,7.92,81.08
q3vl4b@food101,known,breakfast_burrito,24,0.3333,0.0,3.5,34.5
q3vl4b@food101,known,caesar_salad,24,0.8333,0.0,2.21,51.79
q3vl4b@food101,known,chicken_wings,24,0.9583,0.0,2.33,74.67
q3vl4b@food101,known,churros,24,0.9167,0.0,3.42,44.58
q3vl4b@food101,known,club_sandwich,24,0.1667,0.0,4.08,74.92
q3vl4b@food101,known,deviled_eggs,24,0.875,0.0,2.67,79.33
q3vl4b@food101,known,donuts,24,0.9583,0.0,0.25,36.75
q3vl4b@food101,known,edamame,24,0.9583,0.0,0.96,56.04
q3vl4b@food101,known,french_fries,24,0.9583,0.0,1.38,22.62
q3vl4b@food101,known,fried_rice,24,0.8333,0.0,1.21,10.79
q3vl4b@food101,known,greek_salad,24,0.0,0.0,30.96,33.04
q3vl4b@food101,known,hamburger,24,0.9583,0.0,0.04,1.96
q3vl4b@food101,known,hot_and_sour_soup,24,0.0,0.0,16.54,79.46
q3vl4b@food101,known,hot_dog,24,0.9583,0.0,0.29,29.71
q3vl4b@food101,known,lobster_bisque,24,0.0417,0.0,14.5,76.5
q3vl4b@food101,known,lobster_roll_sandwich,24,0.0,0.0,74.0,26.0
q3vl4b@food101,known,oysters,24,0.9167,0.0,1.38,26.62
q3vl4b@food101,known,pizza,24,0.9583,0.0,0.17,4.83
q3vl4b@food101,known,red_velvet_cake,24,0.0,0.0,11.25,55.75
q3vl4b@food101,known,spaghetti_bolognese,24,0.0,0.0,30.88,55.12
q3vl4b@food101,known,spaghetti_carbonara,24,0.0,0.0,61.0,33.0
q3vl4b@food101,known,steak,24,0.9583,0.0,0.08,0.92
q3vl4b@food101,known,sushi,24,1.0,0.0,0.0,3.0
q3vl4b@food101,known,tacos,24,1.0,0.0,0.0,22.0
q3vl4b@food101,known,waffles,24,0.5833,0.0,0.58,34.42
q3vl4b@food101,known,(overall),600,0.6067,0.0,10.55,38.73
q3vl4b@food101,deficient,(overall),600,0.29,0.0,10.94,53.87
llava16@food101,deficient,beignets,24,0.0,0.0,21.42,75.58
llava16@food101,deficient,bibimbap,24,0.0,0.0,41.88,50.12
llava16@food101,deficient,bruschetta,24,0.0,0.0,4.67,68.33
llava16@food101,deficient,ceviche,24,0.0,0.0,17.42,22.58
llava16@food101,deficient,chicken_curry,24,0.125,0.0,8.67,51.33
llava16@food101,deficient,churros,24,0.0833,0.0,8.17,76.83
llava16@food101,deficient,croque_madame,24,0.0,0.0,54.08,23.92
llava16@food101,deficient,cup_cakes,24,0.0,0.0,20.62,60.38
llava16@food101,deficient,falafel,24,0.75,0.0,0.5,11.5
llava16@food101,deficient,filet_mignon,24,0.0,0.0,19.29,28.71
llava16@food101,deficient,foie_gras,24,0.0,0.0,19.62,49.38
llava16@food101,deficient,gyoza,24,0.0,0.0,10.12,71.88
llava16@food101,deficient,huevos_rancheros,24,0.0,0.0,41.08,46.92
llava16@food101,deficient,macarons,24,0.7917,0.0,9.83,79.17
llava16@food101,deficient,pad_thai,24,0.2083,0.0,7.67,79.33
llava16@food101,deficient,paella,24,0.2917,0.0,2.42,22.58
llava16@food101,deficient,panna_cotta,24,0.0,0.0,52.17,23.83
llava16@food101,deficient,peking_duck,24,0.0,0.0,47.46,32.54
llava16@food101,deficient,pho,24,0.6667,0.0,2.0,22.0
llava16@food101,deficient,poutine,24,0.0,0.0,17.21,40.79
llava16@food101,deficient,prime_rib,24,0.0,0.0,1.92,17.08
llava16@food101,deficient,ramen,24,0.0,0.0,7.21,39.79
llava16@food101,deficient,risotto,24,0.7083,0.0,0.5,6.5
