model,method,scope,n_pairs,mean_d_conf,lo,hi,near_miss
q4b,vcd,all-wrong,457,0.3091,0.2911,0.327,13/457
q4b,vcd,far-wrong,444,0.3051,0.2869,0.3232,13/457
q4b,mib,all-wrong,395,0.0829,0.0603,0.1055,25/395
q4b,mib,far-wrong,370,0.0709,0.0479,0.0939,25/395
q4b,lcd,all-wrong,435,0.1877,0.1626,0.2129,13/435
q4b,lcd,far-wrong,422,0.1833,0.1579,0.2087,13/435
q9b,vcd,all-wrong,411,0.3846,0.3656,0.4036,13/411
q9b,vcd,far-wrong,398,0.3804,0.3612,0.3997,13/411
q9b,mib,all-wrong,366,0.1063,0.0836,0.1291,19/366
q9b,mib,far-wrong,347,0.1002,0.077,0.1234,19/366
q9b,lcd,all-wrong,410,0.1542,0.1311,0.1772,23/410
q9b,lcd,far-wrong,387,0.1546,0.1307,0.1786,23/410
