auc,n_K,n_R,pair,signal
0.4548,166,275,q4b@food101,entropy
0.5939,166,275,q4b@food101,jsd_blank
0.6338,166,275,q4b@food101,logistic_combo
0.4533,159,293,q9b@food101,entropy
0.5842,159,293,q9b@food101,jsd_blank
0.5831,159,293,q9b@food101,logistic_combo
0.4673,424,161,internvl4b@food101,entropy
0.588,424,161,internvl4b@food101,jsd_blank
0.5949,424,161,internvl4b@food101,logistic_combo
0.4398,401,132,llava16@food101,entropy
0.5719,401,132,llava16@food101,jsd_blank
0.5761,401,132,llava16@food101,logistic_combo
0.5697,122,380,q3vl4b@food101,entropy
0.5246,122,380,q3vl4b@food101,jsd_blank
0.5796,122,380,q3vl4b@food101,logistic_combo
0.5615,488,229,q4b@dogs,entropy
0.5584,488,229,q4b@dogs,jsd_blank
0.6339,488,229,q4b@dogs,logistic_combo
0.5123,396,323,q9b@dogs,entropy
0.5763,396,323,q9b@dogs,jsd_blank
0.5735,396,323,q9b@dogs,logistic_combo
