acc_faithful,acc_variant,dece_faithful,dece_variant,faithful_impl,model,n,stratum,variant_impl
0.24208566108007448,0.18808193668528864,0.16671723891847406,0.2798589349375755,vcd,q4b,537,low_acc,vcd
0.874113475177305,0.8634751773049646,-0.144745621301815,-0.18182053398473044,vcd,q4b,564,high_acc,vcd
0.2085661080074488,0.33519553072625696,0.1101637079590303,-0.061057038827204396,m3id,q4b,537,low_acc,mib
0.8776595744680851,0.8900709219858156,-0.037946660018770395,-0.01553355389875724,m3id,q4b,564,high_acc,mib
0.1750465549348231,0.21601489757914338,0.13081623659620067,0.12682692219591668,dola,q4b,537,low_acc,lcd
0.8918439716312057,0.7198581560283688,-0.12411461588233072,-0.17539934644885102,dola,q4b,564,high_acc,lcd
0.30333333333333334,0.25,0.16538269621630514,0.38012675076723107,vcd,q9b,600,low_acc,vcd
0.9166666666666666,0.9116666666666666,-0.07551306245227651,-0.21122746961812178,vcd,q9b,600,high_acc,vcd
0.24666666666666667,0.35833333333333334,0.14734372961024444,0.04124599918723107,m3id,q9b,600,low_acc,mib
0.9166666666666666,0.8866666666666667,-0.01826877129574611,-0.029946746577819205,m3id,q9b,600,high_acc,mib
0.23833333333333334,0.22166666666666668,0.20567603555818403,0.19063256328304606,dola,q9b,600,low_acc,lcd
0.875,0.745,-0.0911944840848446,-0.19866934378941853,dola,q9b,600,high_acc,lcd
0.04,0.045,0.23103249037017426,0.36279172978053487,vcd,llava16,600,low_acc,vcd
0.7633333333333333,0.7016666666666667,-0.18632574215531345,-0.09811380604902897,vcd,llava16,600,high_acc,vcd
0.03333333333333333,0.07,0.16076370796809591,0.199380929917097,m3id,llava16,600,low_acc,mib
0.815,0.6783333333333333,-0.017098291640480323,-0.17559779644012444,m3id,llava16,600,high_acc,mib
0.018333333333333333,0.025,0.11113088134676213,0.19934372664739686,dola,llava16,600,low_acc,lcd
0.8166666666666667,0.595,-0.1258557485044002,-0.1822726513942082,dola,llava16,600,high_acc,lcd
0.035,0.04,0.23152211700876546,0.39984141374627746,vcd,internvl4b,600,low_acc,vcd
0.8383333333333334,0.8166666666666667,-0.14723339522878331,-0.12548158809542653,vcd,internvl4b,600,high_acc,vcd
0.025,0.04833333333333333,0.16319788555304193,0.1322311831389863,m3id,internvl4b,600,low_acc,mib
0.86,0.8083333333333333,-0.032395844459533696,-0.1011317719891667,m3id,internvl4b,600,high_acc,mib
0.03666666666666667,0.025,0.5126632990688085,0.16077519234269844,dola,internvl4b,600,low_acc,lcd
0.6883333333333334,0.7233333333333334,0.030211332688728915,-0.163370389988025,dola,internvl4b,600,high_acc,lcd
