ci_contains0,delta_ctrl,delta_method,gap_hi,gap_lo,method,model,n_right,n_wrong,same_sign,stratum,verdict
False,0.01754254008232453,-0.08455517192104908,-0.05344889626825261,-0.1516223365829777,vcd,q4b,65,265,False,low_acc,residual_structure
False,0.0013164133400789743,-0.13004369751417255,-0.057708983198848915,-0.20830789647254902,m3id,q4b,69,356,False,low_acc,residual_structure
True,0.011722606000395347,0.014576193608324628,0.013180901107489899,-0.0076438782190541175,dola,q4b,88,428,True,low_acc,sharpening_explains
False,0.009592582711475783,0.09605073788394666,0.11712616677019606,0.05486865117933311,deco,q4b,73,375,True,low_acc,residual_structure
True,0.053840525583736726,0.05954991815432073,0.0515622069191321,-0.04075296864982708,vcd,q4b,394,40,True,high_acc,sharpening_explains
False,0.0021565883300943486,0.06989230563615674,0.12637068054544096,0.014957839232718031,m3id,q4b,489,54,True,high_acc,residual_structure
True,0.022565831045834622,0.011153498207337964,0.000925636609573872,-0.0236263244623509,dola,q4b,493,58,True,high_acc,sharpening_explains
False,0.021115980361570696,0.12255866880190402,0.14168895691335,0.062138303961274476,deco,q4b,461,57,True,high_acc,residual_structure
True,-0.00790326517259557,-0.049877424616281474,0.0005811565274780639,-0.08482803191413794,vcd,q9b,92,194,True,low_acc,sharpening_explains
False,-0.002424413658746398,0.048225657253660986,0.07723148755258795,0.023563297095010923,m3id,q9b,114,321,False,low_acc,residual_structure
True,-0.011920761450894587,-0.012777039151724817,0.014625732971969953,-0.01728346537246794,dola,q9b,120,303,True,low_acc,sharpening_explains
False,-0.005517590979718177,0.019993279305727862,0.0356444731583215,0.01581510064255435,deco,q9b,106,380,False,low_acc,residual_structure
False,0.03702860789642025,0.16175659815280705,0.19691158939556047,0.0594643950037821,vcd,q9b,419,21,True,high_acc,residual_structure
True,0.005003580351280203,0.04648897356190249,0.10123729796849187,-0.006448647650899064,m3id,q9b,538,38,True,high_acc,sharpening_explains
True,0.011244567540596828,0.038810338017986584,0.06472827560980812,-0.0018041031854874377,dola,q9b,427,32,True,high_acc,sharpening_explains
True,0.009397189151983544,0.00797367451149364,0.01600127584932501,-0.017674130006891928,deco,q9b,476,43,True,high_acc,sharpening_explains
,,,,,vcd,llava16,5,334,,low_acc,insufficient_n
,,,,,m3id,llava16,9,436,,low_acc,insufficient_n
,,,,,dola,llava16,11,580,,low_acc,insufficient_n
,,,,,deco,llava16,6,525,,low_acc,insufficient_n
False,-0.0201318380876071,0.07408862224951082,0.14457196543170464,0.042245903399699566,vcd,llava16,392,60,False,high_acc,residual_structure
False,-0.008664966722058562,0.04253799888296696,0.1003185903919399,0.008316533926358628,m3id,llava16,472,71,False,high_acc,residual_structure
False,-0.022691195206134995,-0.04676374927306781,-0.015363524595693049,-0.032763629959495444,dola,llava16,489,105,True,high_acc,residual_structure
True,-0.01283528924073813,-0.006433979421854016,0.01318238303108394,-0.00023101952119565833,deco,llava16,450,100,True,high_acc,sharpening_explains
,,,,,vcd,internvl4b,9,302,,low_acc,insufficient_n
,,,,,m3id,internvl4b,11,393,,low_acc,insufficient_n
,,,,,dola,internvl4b,3,91,,low_acc,insufficient_n
,,,,,deco,internvl4b,15,528,,low_acc,insufficient_n
True,0.0744270157458039,0.08507086706266292,0.07566371023756761,-0.04963286620815309,vcd,internvl4b,424,44,True,high_acc,sharpening_explains
True,0.005932275760030883,0.013702692694511085,0.0474680796195899,-0.016220359869662436,m3id,internvl4b,492,54,True,high_acc,sharpening_explains
,,,,,dola,internvl4b,299,11,,high_acc,insufficient_n
True,0.004132761217234958,-0.0074854540582905554,0.0014711013989942407,-0.023254519106519957,deco,internvl4b,468,78,False,high_acc,residual_structure
