T_fit,mean_ctrl,mean_method,method,model,n,spearman,stratum,wasserstein1
0.65,0.2375541141111799,0.2534545431082899,vcd,q4b,330,0.16406278044125958,low_acc,0.10252525252525253
0.95,0.037543036042740424,0.08035101455800674,m3id,q4b,425,-0.3352814556595958,low_acc,0.3640249134948097
0.75,0.16620994050980117,0.1583711513599684,dola,q4b,516,0.8255356706916299,low_acc,0.09179135869238628
0.75,0.1710351623061652,0.18171733977007015,deco,q4b,448,0.2615776082783302,low_acc,0.17239815848214285
0.65,0.1837668975368348,0.1755872695676742,vcd,q4b,434,0.43446015202932686,high_acc,0.08753902185223725
0.95,0.03493648216961679,0.018268134986937155,m3id,q4b,543,-0.042104586222982805,high_acc,0.47142605197914866
0.75,0.14309816984405374,0.13716358727963132,dola,q4b,551,0.7010516272963996,high_acc,0.08607349778162786
0.75,0.1445512666502713,0.14750705860756538,deco,q4b,518,0.35318055918228103,high_acc,0.12586835318495548
0.8,0.12028209099888562,0.18033338280824515,vcd,q9b,286,0.2496458611991346,low_acc,0.18646388576458509
0.95,0.029788971594942176,0.05570821782638287,m3id,q9b,435,-0.17733479896841836,low_acc,0.38278768661646195
0.8,0.10892617436999072,0.12568344774680215,dola,q9b,423,0.8171212573796474,low_acc,0.06597868428259253
0.9,0.05558238875160889,0.07591932829576756,deco,q9b,486,0.4410998027106186,low_acc,0.07712238987959152
0.8,0.10160874248055356,0.0816996006803079,vcd,q9b,440,0.3046721691368617,high_acc,0.17080061983471076
0.95,0.02695062910250144,0.008156772185530927,m3id,q9b,576,-0.029126918343254718,high_acc,0.48295838155864196
0.8,0.09805898022648922,0.10442215584072412,dola,q9b,459,0.6540593732588281,high_acc,0.12707363264841157
0.9,0.052792152823210176,0.062381632812680075,deco,q9b,519,0.40678628510998455,high_acc,0.14972843136162994
0.65,0.201186398131657,0.21860847935344266,vcd,llava16,452,0.2879311350800795,high_acc,0.10914617432845174
0.9,0.062080981427878386,0.019322073207156214,m3id,llava16,543,-0.09435572459397001,high_acc,0.46796834990113584
0.8,0.11745751635901547,0.13926729334123206,dola,llava16,594,0.7889649109170981,high_acc,0.10454715505220556
0.9,0.05971788065449348,0.05664405199614438,deco,llava16,550,0.22512323256365385,high_acc,0.07956363636363636
0.65,0.1626862772653805,0.14936132840493804,vcd,internvl4b,468,0.41385818630217613,high_acc,0.09737745635181531
0.95,0.027624336252733764,0.008734480638207098,m3id,internvl4b,546,-0.02621368367137617,high_acc,0.4820623515678461
0.9,0.053277630054694484,0.0720241374366886,deco,internvl4b,546,0.34482463346156883,high_acc,0.12495639281353568
