acc_d,acc_m,dconf,dece,ece_d,ece_m,hit,method,model,n,n_unchanged,predicted,stratum
0.004166666666666667,0.05277777777777778,0.08797081377191149,0.04892097341103674,0.7470114627853036,0.7959324361963404,True,vcd,q4b,720,628,dECE >= 0 (harmed side),low_acc
0.004166666666666667,0.006944444444444444,0.00044046525515657563,0.0004723643884062545,0.7470114627853036,0.7474838271737099,True,m3id,q4b,720,716,dECE >= 0 (harmed side),low_acc
0.004166666666666667,0.005555555555555556,0.09579960369765345,0.09433400088714217,0.7470114627853036,0.8413454636724458,True,dola,q4b,720,719,dECE >= 0 (harmed side),low_acc
0.004166666666666667,0.001388888888888889,0.18700121258667043,0.19000871046963663,0.7470114627853036,0.9370201732549402,True,deco,q4b,720,688,dECE >= 0 (harmed side),low_acc
0.5527777777777778,0.5472222222222223,0.1141647367936666,0.13422385355871583,0.15129291797056796,0.2855167715292838,True,vcd,q4b,720,549,dECE >= 0 (harmed side),high_acc
0.5527777777777778,0.5569444444444445,0.012773514267872776,0.0036102156568732224,0.15129291797056796,0.15490313362744118,True,m3id,q4b,720,676,dECE >= 0 (harmed side),high_acc
0.5527777777777778,0.5472222222222223,0.10658790147179491,0.06839985831951104,0.15129291797056796,0.219692776290079,True,dola,q4b,720,715,dECE >= 0 (harmed side),high_acc
0.5527777777777778,0.5541666666666667,0.24991764335548478,0.18810242490015097,0.15129291797056796,0.33939534287071893,True,deco,q4b,720,654,dECE >= 0 (harmed side),high_acc
0.001388888888888889,0.016666666666666666,0.09454989157005646,0.08200482051405633,0.6558355785906315,0.7378403991046878,True,vcd,q9b,720,658,dECE >= 0 (harmed side),low_acc
0.001388888888888889,0.001388888888888889,-7.085866861410074e-10,0.002856631204485871,0.6558355785906315,0.6586922097951173,True,m3id,q9b,720,715,dECE >= 0 (harmed side),low_acc
0.001388888888888889,0.013888888888888888,0.14276734696475069,0.13444779275192154,0.6558355785906315,0.790283371342553,True,dola,q9b,720,692,dECE >= 0 (harmed side),low_acc
0.001388888888888889,0.0,0.054040368771954866,0.05524099816878636,0.6558355785906315,0.7110765767594178,True,deco,q9b,720,712,dECE >= 0 (harmed side),low_acc
0.5375,0.5611111111111111,0.13099246269803705,0.07410229568680135,0.14601395672394166,0.220116252410743,True,vcd,q9b,720,615,dECE >= 0 (harmed side),high_acc
0.5375,0.5291666666666667,0.0053399596574970265,0.0028268025153213583,0.14601395672394166,0.14884075923926302,True,m3id,q9b,720,704,dECE >= 0 (harmed side),high_acc
0.5375,0.5263888888888889,0.1289539309743604,0.08950796775105932,0.14601395672394166,0.23552192447500098,True,dola,q9b,720,674,dECE >= 0 (harmed side),high_acc
0.5375,0.5375,0.05294651013673304,0.03422500102056403,0.14601395672394166,0.18023895774450568,True,deco,q9b,720,689,dECE >= 0 (harmed side),high_acc
