A_pre,d_m,hi95,lo95,method,model,se_m,stratum
0.16,-0.10209771200337361,-0.05468157729422096,-0.15234139505100583,vcd,q4b,0.025351559964689935,low_acc
0.16,-0.13136011085425153,-0.05727986727455841,-0.2134077248275573,m3id,q4b,0.03972324493081333,low_acc
0.16,0.002853587607929281,0.01277498158883532,-0.008345176580574747,dola,q4b,0.0053992348232404985,low_acc
0.16,0.08645815517247088,0.11587946914579328,0.0537754456834013,deco,q4b,0.015850563405606522,low_acc
0.8366666666666667,0.005709392570584004,0.051008724796512986,-0.04100434694490581,vcd,q4b,0.023572825146076972,high_acc
0.8366666666666667,0.0677357173060624,0.12665677167675776,0.013533799676454893,m3id,q4b,0.02894078326328915,high_acc
0.8366666666666667,-0.011412332838496658,0.001396432722698412,-0.023411925245888345,dola,q4b,0.006418682336517229,high_acc
0.8366666666666667,0.10144268844033333,0.1421790834302297,0.06192438755515669,deco,q4b,0.020466751755356987,high_acc
0.24666666666666667,-0.041974159443685904,-0.0005439828140313852,-0.08342924082753832,vcd,q9b,0.02128977743150602,low_acc
0.24666666666666667,0.050650070912407384,0.07727895108414157,0.02298124543385087,m3id,q9b,0.013727901464606247,low_acc
0.24666666666666667,-0.0008562777008302297,0.015116103922748684,-0.017276311095155854,dola,q9b,0.008573614191283158,low_acc
0.24666666666666667,0.02551087028544604,0.03515653164604272,0.015985146742457143,deco,q9b,0.004884656397278522,low_acc
0.9183333333333333,0.1247279902563868,0.1918070706565282,0.05969092509542159,vcd,q9b,0.034427227707162715,high_acc
0.9183333333333333,0.04148539321062229,0.10211558844162048,-0.0067020814040119284,m3id,q9b,0.027768878908916602,high_acc
0.9183333333333333,0.027565770477389756,0.06429365963611687,-0.0022190464928631523,dola,q9b,0.017236388742501278,high_acc
0.9183333333333333,-0.001423514640489905,0.016272155029634566,-0.017430198360813595,deco,q9b,0.008536275181298271,high_acc
0.8216666666666667,0.09422046033711792,0.14783303430874944,0.04288852727561731,vcd,llava16,0.026700449678171014,high_acc
0.8216666666666667,0.05120296560502552,0.09895609796078692,0.008353222322108653,m3id,llava16,0.02347620523963012,high_acc
0.8216666666666667,-0.024072554066932816,-0.015018665156765955,-0.032212881171312345,dola,llava16,0.004460664053463369,high_acc
0.8216666666666667,0.006401309818884114,0.013062437854798093,-0.0003169147344204561,deco,llava16,0.003411566747005805,high_acc
0.8516666666666667,0.010643851316859021,0.0719841500020621,-0.04904136212974576,vcd,internvl4b,0.031774255129282176,high_acc
0.8516666666666667,0.007770416934480202,0.04243140409629562,-0.015462622055468535,m3id,internvl4b,0.016104214502288737,high_acc
0.8516666666666667,-0.011618215275525513,0.0012006273940728407,-0.023654927940833993,deco,internvl4b,0.006525091718165764,high_acc
,0.014902096811703775,0.02760060620868216,0.0022035874147253894,,POOLED_DL,0.0064789503261174115,
