model,stratum,condition,method,n,accuracy
llava16,low_acc,original,direct,100,0.01
llava16,low_acc,original,vcd,100,0.03
llava16,low_acc,original,m3id,100,0.02
llava16,low_acc,short64,direct,100,0.0
llava16,low_acc,short64,vcd,100,0.01
llava16,low_acc,short64,m3id,100,0.0
llava16,low_acc,short32,direct,100,0.0
llava16,low_acc,short32,vcd,100,0.02
llava16,low_acc,short32,m3id,100,0.0
llava16,high_acc,original,direct,100,0.79
llava16,high_acc,original,vcd,100,0.73
llava16,high_acc,original,m3id,100,0.8
llava16,high_acc,short64,direct,100,0.68
llava16,high_acc,short64,vcd,100,0.62
llava16,high_acc,short64,m3id,100,0.67
llava16,high_acc,short32,direct,100,0.35
llava16,high_acc,short32,vcd,100,0.38
llava16,high_acc,short32,m3id,100,0.37
q9b,low_acc,original,direct,100,0.21
q9b,low_acc,original,vcd,100,0.35
q9b,low_acc,original,m3id,100,0.19
q9b,low_acc,short64,direct,100,0.13
q9b,low_acc,short64,vcd,100,0.19
q9b,low_acc,short64,m3id,100,0.17
q9b,low_acc,short32,direct,100,0.05
q9b,low_acc,short32,vcd,100,0.12
q9b,low_acc,short32,m3id,100,0.05
q9b,high_acc,original,direct,100,0.95
q9b,high_acc,original,vcd,100,0.95
q9b,high_acc,original,m3id,100,0.95
q9b,high_acc,short64,direct,100,0.9
q9b,high_acc,short64,vcd,100,0.86
q9b,high_acc,short64,m3id,100,0.87
q9b,high_acc,short32,direct,100,0.7
q9b,high_acc,short32,vcd,100,0.71
q9b,high_acc,short32,m3id,100,0.66
