model,stratum,condition,method,n,corrected_n,induced_n,acc_direct,acc_method,delta_accuracy,correction_rate,induced_error_rate,delta_lo,delta_hi
llava16,low_acc,original,vcd,100,2,0,0.01,0.03,0.02,0.020202020202020204,0.0,0.0,0.05
llava16,low_acc,original,m3id,100,1,0,0.01,0.02,0.01,0.010101010101010102,0.0,0.0,0.03
llava16,low_acc,short64,vcd,100,1,0,0.0,0.01,0.01,0.01,,0.0,0.03
llava16,low_acc,short64,m3id,100,0,0,0.0,0.0,0.0,0.0,,0.0,0.0
llava16,low_acc,short32,vcd,100,2,0,0.0,0.02,0.02,0.02,,0.0,0.05
llava16,low_acc,short32,m3id,100,0,0,0.0,0.0,0.0,0.0,,0.0,0.0
llava16,high_acc,original,vcd,100,4,10,0.79,0.73,-0.06,0.19047619047619047,0.12658227848101267,-0.14,0.01
llava16,high_acc,original,m3id,100,3,2,0.79,0.8,0.01,0.14285714285714285,0.02531645569620253,-0.03,0.05
llava16,high_acc,short64,vcd,100,2,8,0.68,0.62,-0.06,0.0625,0.11764705882352941,-0.13,0.01
llava16,high_acc,short64,m3id,100,2,3,0.68,0.67,-0.01,0.0625,0.04411764705882353,-0.05,0.03
llava16,high_acc,short32,vcd,100,6,3,0.35,0.38,0.03,0.09230769230769231,0.08571428571428572,-0.02,0.08
llava16,high_acc,short32,m3id,100,3,1,0.35,0.37,0.02,0.046153846153846156,0.02857142857142857,-0.02,0.06
q9b,low_acc,original,vcd,100,16,2,0.21,0.35,0.14,0.20253164556962025,0.09523809523809523,0.05,0.23
q9b,low_acc,original,m3id,100,1,3,0.21,0.19,-0.02,0.012658227848101266,0.14285714285714285,-0.06,0.010249999999998635
q9b,low_acc,short64,vcd,100,8,2,0.13,0.19,0.06,0.09195402298850575,0.15384615384615385,0.0,0.12
q9b,low_acc,short64,m3id,100,6,2,0.13,0.17,0.04,0.06896551724137931,0.15384615384615385,-0.01,0.1
q9b,low_acc,short32,vcd,100,9,2,0.05,0.12,0.07,0.09473684210526316,0.4,0.01,0.14
q9b,low_acc,short32,m3id,100,1,1,0.05,0.05,0.0,0.010526315789473684,0.2,-0.03,0.03
q9b,high_acc,original,vcd,100,3,3,0.95,0.95,0.0,0.6,0.031578947368421054,-0.05,0.05
q9b,high_acc,original,m3id,100,1,1,0.95,0.95,0.0,0.2,0.010526315789473684,-0.03,0.03
q9b,high_acc,short64,vcd,100,1,5,0.9,0.86,-0.04,0.1,0.05555555555555555,-0.08,-0.01
q9b,high_acc,short64,m3id,100,0,3,0.9,0.87,-0.03,0.0,0.03333333333333333,-0.08,0.0
q9b,high_acc,short32,vcd,100,4,3,0.7,0.71,0.01,0.13333333333333333,0.04285714285714286,-0.03,0.05
q9b,high_acc,short32,m3id,100,2,6,0.7,0.66,-0.04,0.06666666666666667,0.08571428571428572,-0.09,0.01
