model,stratum,method,score_kind,n,corrected_n,induced_n,acc_direct,acc_method,delta_accuracy,correction_rate,induced_error_rate,delta_accuracy_lo,delta_accuracy_hi,n_common_answers,risk80_direct,risk80_method,delta_risk80,delta_risk80_lo,delta_risk80_hi,decision
q4b,low_acc,vcd,sequence,600,44,10,0.16,0.21666666666666667,0.056666666666666664,0.0873015873015873,0.10416666666666667,0.02666666666666667,0.09166666666666666,537,0.8604651162790697,0.772093023255814,-0.08837209302325577,-0.14286581137309298,-0.04215210444527124,no_confirmed_harm_at_primary_budget
q4b,low_acc,m3id,sequence,600,27,11,0.16,0.18666666666666668,0.02666666666666667,0.05357142857142857,0.11458333333333333,-0.006666666666666667,0.065,537,0.8604651162790697,0.8116279069767441,-0.0488372093023256,-0.10575581847902236,0.0,no_confirmed_harm_at_primary_budget
q4b,low_acc,dola,sequence,600,2,4,0.16,0.15666666666666668,-0.0033333333333333335,0.003968253968253968,0.041666666666666664,-0.013333333333333334,0.005,537,0.8604651162790697,0.8604651162790697,0.0,-0.01373234980860281,0.013953488372092985,no_confirmed_harm_at_primary_budget
q4b,low_acc,deco,sequence,600,5,15,0.16,0.14333333333333334,-0.016666666666666666,0.00992063492063492,0.15625,-0.03666666666666667,0.0016666666666666668,537,0.8604651162790697,0.8674418604651163,0.006976744186046546,-0.01847681977589595,0.03712512814978686,no_confirmed_harm_at_primary_budget
q4b,high_acc,vcd,sequence,600,9,18,0.8366666666666667,0.8216666666666667,-0.015,0.09183673469387756,0.035856573705179286,-0.03166666666666667,0.0016666666666666668,564,0.084070796460177,0.10176991150442478,0.017699115044247787,-0.008928571428571438,0.042797125592674,no_confirmed_harm_at_primary_budget
q4b,high_acc,m3id,sequence,600,1,8,0.8366666666666667,0.825,-0.011666666666666667,0.01020408163265306,0.01593625498007968,-0.021666666666666667,-0.0033333333333333335,564,0.084070796460177,0.11061946902654868,0.02654867256637168,0.006564551422319473,0.05418036608106779,higher_fixed_coverage_risk
q4b,high_acc,dola,sequence,600,3,2,0.8366666666666667,0.8383333333333334,0.0016666666666666668,0.030612244897959183,0.00398406374501992,-0.006666666666666667,0.013333333333333334,564,0.084070796460177,0.09292035398230089,0.008849557522123894,-0.0022222222222222227,0.02232142857142856,no_confirmed_harm_at_primary_budget
q4b,high_acc,deco,sequence,600,2,16,0.8366666666666667,0.8133333333333334,-0.023333333333333334,0.02040816326530612,0.03187250996015936,-0.04666666666666667,-0.005,564,0.084070796460177,0.1172566371681416,0.0331858407079646,0.008907207757652202,0.0647430527688603,higher_fixed_coverage_risk
q4b,low_acc,vcd,first,600,44,10,0.16,0.21666666666666667,0.056666666666666664,0.0873015873015873,0.10416666666666667,0.02666666666666667,0.09166666666666666,537,0.8395348837209302,0.7534883720930232,-0.086046511627907,-0.13301689947481968,-0.041565660587719995,no_confirmed_harm_at_primary_budget
q4b,low_acc,m3id,first,600,27,11,0.16,0.18666666666666668,0.02666666666666667,0.05357142857142857,0.11458333333333333,-0.006666666666666667,0.065,537,0.8395348837209302,0.786046511627907,-0.05348837209302326,-0.12446779475982533,0.0073629792934081445,no_confirmed_harm_at_primary_budget
