model,condition,file,target_name,status,robust_stable,interval_empty,contains_default,empty_reason,witness_alpha,validation_passed,category
llava16,original,apple_pie_eval_027.jpg,apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,apple_pie_eval_027.jpg,Apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,apple_pie_eval_034.jpg,apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,apple_pie_eval_034.jpg,Apple pie,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,beignets_eval_025.jpg,beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,beignets_eval_025.jpg,Beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,beignets_eval_038.jpg,beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,beignets_eval_038.jpg,Beignets,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,bibimbap_eval_024.jpg,bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,bibimbap_eval_024.jpg,Bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,bibimbap_eval_044.jpg,bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,bibimbap_eval_044.jpg,Bibimbap,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,breakfast_burrito_eval_034.jpg,breakfast burrito,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,breakfast_burrito_eval_034.jpg,Breakfast burrito,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,breakfast_burrito_eval_037.jpg,breakfast burrito,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,breakfast_burrito_eval_037.jpg,Breakfast burrito,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
llava16,original,bruschetta_eval_030.jpg,bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,bruschetta_eval_030.jpg,Bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,bruschetta_eval_044.jpg,bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,bruschetta_eval_044.jpg,Bruschetta,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,ceviche_eval_025.jpg,ceviche,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,ceviche_eval_025.jpg,Ceviche,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,ceviche_eval_030.jpg,ceviche,ok,True,True,False,target_outside_support,,,empty_target_outside_support
llava16,original,ceviche_eval_030.jpg,Ceviche,ok,True,True,False,incompatible_constraints,,,empty_constraints_incompatible
