model,stratum,method,score_kind,coverage_common,coverage_common_actual,coverage_all,risk_direct,risk_method
q4b,low_acc,vcd,sequence,0.2,0.2011173184357542,0.18,0.8611111111111112,0.7592592592592593
q4b,low_acc,vcd,sequence,0.4,0.40037243947858475,0.35833333333333334,0.8930232558139535,0.7534883720930232
q4b,low_acc,vcd,sequence,0.6,0.6014897579143389,0.5383333333333333,0.8947368421052632,0.7832817337461301
q4b,low_acc,vcd,sequence,0.8,0.8007448789571695,0.7166666666666667,0.8604651162790697,0.772093023255814
q4b,low_acc,vcd,sequence,1.0,1.0,0.895,0.8212290502793296,0.7579143389199255
q4b,low_acc,m3id,sequence,0.2,0.2011173184357542,0.18,0.8611111111111112,0.6481481481481481
q4b,low_acc,m3id,sequence,0.4,0.40037243947858475,0.35833333333333334,0.8930232558139535,0.7395348837209302
q4b,low_acc,m3id,sequence,0.6,0.6014897579143389,0.5383333333333333,0.8947368421052632,0.7925696594427245
q4b,low_acc,m3id,sequence,0.8,0.8007448789571695,0.7166666666666667,0.8604651162790697,0.8116279069767441
q4b,low_acc,m3id,sequence,1.0,1.0,0.895,0.8212290502793296,0.7914338919925512
q4b,low_acc,dola,sequence,0.2,0.2011173184357542,0.18,0.8611111111111112,0.8611111111111112
q4b,low_acc,dola,sequence,0.4,0.40037243947858475,0.35833333333333334,0.8930232558139535,0.8883720930232558
q4b,low_acc,dola,sequence,0.6,0.6014897579143389,0.5383333333333333,0.8947368421052632,0.8947368421052632
q4b,low_acc,dola,sequence,0.8,0.8007448789571695,0.7166666666666667,0.8604651162790697,0.8604651162790697
q4b,low_acc,dola,sequence,1.0,1.0,0.895,0.8212290502793296,0.8249534450651769
q4b,low_acc,deco,sequence,0.2,0.2011173184357542,0.18,0.8611111111111112,0.9351851851851852
q4b,low_acc,deco,sequence,0.4,0.40037243947858475,0.35833333333333334,0.8930232558139535,0.9255813953488372
q4b,low_acc,deco,sequence,0.6,0.6014897579143389,0.5383333333333333,0.8947368421052632,0.9009287925696594
q4b,low_acc,deco,sequence,0.8,0.8007448789571695,0.7166666666666667,0.8604651162790697,0.8674418604651163
q4b,low_acc,deco,sequence,1.0,1.0,0.895,0.8212290502793296,0.839851024208566
q4b,high_acc,vcd,sequence,0.2,0.20035460992907803,0.18833333333333332,0.02654867256637168,0.01639344262295082
q4b,high_acc,vcd,sequence,0.4,0.40070921985815605,0.37666666666666665,0.048672566371681415,0.07079646017699115
q4b,high_acc,vcd,sequence,0.6,0.601063829787234,0.565,0.06489675516224189,0.08849557522123894
q4b,high_acc,vcd,sequence,0.8,0.8014184397163121,0.7533333333333333,0.084070796460177,0.10176991150442478
q4b,high_acc,vcd,sequence,1.0,1.0,0.94,0.1099290780141844,0.12588652482269502
q4b,high_acc,m3id,sequence,0.2,0.20035460992907803,0.18833333333333332,0.02654867256637168,0.07964601769911504
q4b,high_acc,m3id,sequence,0.4,0.40070921985815605,0.37666666666666665,0.048672566371681415,0.09734513274336283
q4b,high_acc,m3id,sequence,0.6,0.601063829787234,0.565,0.06489675516224189,0.10324483775811209
