model,task,method,tier,n,accuracy,abstain_rate,certain_error_rate,calibration_ece,mean_forwards,mean_wall_s,hallucination_on_neg
q4b,naming,direct,high,97,0.3918,0.0,0.6082,0.2579,4.3,0.35,
q4b,naming,direct,low,97,0.3918,0.0,0.6082,0.2004,4.4,0.346,
q4b,naming,vcd,high,97,0.4742,0.0,0.5258,0.221,8.8,0.703,
q4b,naming,vcd,low,97,0.4124,0.0,0.5876,0.1798,8.7,0.69,
q4b,naming,mib,high,97,0.3918,0.0,0.6082,0.2579,9.1,0.718,
q4b,naming,mib,low,97,0.433,0.0,0.567,0.1925,9.1,0.711,
q4b,naming,lcd,high,97,0.3814,0.0,0.6186,0.3156,4.4,0.6,
q4b,naming,lcd,low,97,0.3196,0.0,0.6804,0.3766,4.4,0.601,
q4b,existence,direct,high,194,0.9845,0.0,0.0155,,,,
q4b,existence,direct,low,194,0.9639,0.0,0.0361,,,,
q4b,existence,direct,neg_high,97,1.0,0.0,0.0,,,,0.0
q4b,existence,direct,pos_high,97,0.9691,0.0,0.0309,,,,
q4b,existence,direct,neg_low,97,0.9897,0.0,0.0103,,,,0.0103
q4b,existence,direct,pos_low,97,0.9381,0.0,0.0619,,,,
q4b,existence,direct,neg_both,194,0.9948,0.0,0.0052,,,,0.0052
q4b,existence,direct,pos_both,194,0.9536,0.0,0.0464,,,,
q4b,existence,vcd,high,194,0.9794,0.0,0.0206,,,,
q4b,existence,vcd,low,194,0.9639,0.0,0.0361,,,,
q4b,existence,vcd,neg_high,97,0.9897,0.0,0.0103,,,,0.0103
q4b,existence,vcd,pos_high,97,0.9691,0.0,0.0309,,,,
q4b,existence,vcd,neg_low,97,0.9794,0.0,0.0206,,,,0.0206
q4b,existence,vcd,pos_low,97,0.9485,0.0,0.0515,,,,
q4b,existence,vcd,neg_both,194,0.9845,0.0,0.0155,,,,0.0155
q4b,existence,vcd,pos_both,194,0.9588,0.0,0.0412,,,,
q4b,existence,mib,high,194,0.9691,0.0,0.0309,,,,
q4b,existence,mib,low,194,0.9536,0.0,0.0464,,,,
q4b,existence,mib,neg_high,97,0.9897,0.0,0.0103,,,,0.0103
q4b,existence,mib,pos_high,97,0.9485,0.0,0.0515,,,,
